paperId,Citations
29ddc1f43f28af7c846515e32cc167bc66886d0c,"['208ac1f2ec9bf367a9981fedb6d9ea6aa9889099', '37b9478b792fb1e7ad5f2c322ed4445b93df6c9e', '71ba8a8c75e0826f94eb53ee7a4566d4fc5b5256', 'a357f1ff27e184d9a5ef69e665e8ca891032bf71', '6422f4b9e3bedf585170bffc7105ffe2061e87ae', 'c6879e43828b293567f5e2da039d23845189d6a7', '8ef0c1c2030aa265a4e7c836d080c2e2088efde6', 'b889b1d6944213bc2ca29e3ad07ee65ede20892d', '5cb8f417d171ae329adf446820bd32d8b49d8c04', 'ee6f23590783adec7cf6b2030c6a46f3117a708e', 'c9b56cb026a38e39bb0228faac57accd6f65e6f7', '9712624bb61abb0da989514cae558cfab61bb9d2', '11342d45911ee8a7c9e3a94117ce774ad7036172', '011095a0082e5e301f9bf30267b193c1c9e7e370', '6b3756d32ab5b0a5715a5cfc3672290d2d643017']"
d6a083dad7114f3a39adc65c09bfbb6cf3fee9ea,"['45674df7143e43bc589cfabd26dd194c2a7f090d', '6ea4bd1d842d7ab689b7ceb22927e48b9e5ad786', '8dce62b18bdea587c07cb4769a05ca0a816d09ba', 'd235a9085e0543fcbe502fbc269f9a8ee01dcbab', '0e141942fa265142f41a2a26eb17b6005d3af29e', '58ed1fbaabe027345f7bb3a6312d41c5aac63e22', '957f5b1e7ca48891c2e279aefbfa0f04d989c21e', '182180bd69ea6d2f59225ded5ddc900b8558ab9f', '011095a0082e5e301f9bf30267b193c1c9e7e370', 'a0f788f6de0fb83d623c875a98120e3f347f70d1', 'e89c37b7c2ff465db43c4b9f674867ec4b98aa8b', 'd88c1255876b62fb5f5a8b292098ca430710a540', '9b54941de1e21826ecc28b32730ac3f69991ede4', '1cf2e9e198feef3893da2800a7949f6880ddc084', '9b529fe170823f95509585d5aa39fa01a43558fd', '43ccf5d54ed038738af54009a5a9166af05471c7', '472644c5f4155635cf9e9e37540bfa53c20e7610', '53103ae318a19569ac82cee5062de2cf73bf386c']"
58ed1fbaabe027345f7bb3a6312d41c5aac63e22,"['0e6e8274d0dcbc1c3c1ccdbd87f3e5d53fdf62b4', '3994334c81478a4b17341eb1f494dbccbb73d999', '223187cf10a24b62b9b0cf5b146cc83526df2ea5', 'eef23d76e175c0cff8e81ffcb2721c10539c8cbd', '6422f4b9e3bedf585170bffc7105ffe2061e87ae', '704011527f183b561ea6a75b21e4cefe5aa77fca', 'dd5fc2d34af35c6c7428205fff04c8f527b9e8d4', 'd1ae4ab5047489c2b010c7ce72262982ad66ad60', 'b000a4b30f6206f6cfb033a79aad1ba810c972a4', '549e933821fdf7cd0309dacaae99c8284cbfcc24', '13c4e5a6122f3fa2663f63e49537091da6532f35', 'd2a505586c0da20752b98f63c7760b6a5c41e28d', '047286f5b9315a8e8bf56c4fc936e62f21495892', '07b01d665646009439ca206378cc35e095ec6cd2', '2c3eef2f17369912e330281d54b535675077e4ca', 'f91dbd39d4c742ba675e447b04a0b0c70b33e836', 'ce9ca56036307217ea565644d3d3bd74b879e045', '08aaaf7ae3d61875e7bcf5c1bb0df4f17066e300']"
06d7cb8c8816360feb33c3367073e0ef66d7d0b0,"['45674df7143e43bc589cfabd26dd194c2a7f090d', '1109d62ebd2b29a7dc148bc30dd6cfc803a63dec', 'a6b7b5dbd1eb6ac765cdb9c9f70b90aa11e45854', '472644c5f4155635cf9e9e37540bfa53c20e7610', 'a357f1ff27e184d9a5ef69e665e8ca891032bf71', 'c4cdf2e0d89aadb13bf9c61654ff9e17be2b01b9', '48c73c389c3f36d70407eb8309a0b41578c15fc8', '6fed828456964d29517f6caf31b700d8aec82153', 'dadfb3ff45e19dc22456a645f441bbeb17c93c9c', '5cb8f417d171ae329adf446820bd32d8b49d8c04', 'f3b8a3ffa0bdfe5578e0f0f44ea3b66cad38c032', '64306bbddb4da7a4e06f990a0167d55fbbbbec82', 'ce3285bf1853f00c00535325851df5c33a0fc5d6', 'c9b56cb026a38e39bb0228faac57accd6f65e6f7', '6fb020754f6de564c3a0a07bb656c0a90be1f87d', '0427110f0e79f41e69a8eb00a3ec8868bac26a4f', '0d065e8688c38bb0148203a1738f47184a5b58d3', '152877c51df17cdd4a87d19e452c6daecfadf6c3', 'db528269ef800727245c0fcb35b692d29c1ccdc9', '6ea4bd1d842d7ab689b7ceb22927e48b9e5ad786', 'b2ee139c1a3c2c53ac2b603070bdfbcd26b50ddc', '7e9905710a5991a017ffc0473dd612cfce4b7b2e', '950850e22e42201f152d90dc6f53d53e39d37657', 'c0e6cd2ec3bc9eb46c7d45bb708854da3327339e']"
5471114e37448bea2457b74894b1ecb92bbcfdf6,"['353c88c231ce156d604e074af276422422fc73f7', '957f5b1e7ca48891c2e279aefbfa0f04d989c21e', '6745a82c9236f0eec576904eb50ea700ca5a7d7c', 'e75cb933d387ecb184010ff07d0ee43fc1750e2a', 'ade9a900acc3c138021070537840488526796d35', 'a357f1ff27e184d9a5ef69e665e8ca891032bf71', 'b4af1cbb4d3a03d3ad7930b906fc7bf6870180cc', '152877c51df17cdd4a87d19e452c6daecfadf6c3', '3db1841fd5f2561a11dfbd8173616b3e695c84a1', '74b63c4cdc719a646ce014d084a0ce0ac66d9139', '03532123ccffae8d411264320e8a5ae2b6eddea0', 'b889b1d6944213bc2ca29e3ad07ee65ede20892d', '410fba9f03212257d0881811802e6620e59bc827', '1ddb24103c5089fd2bdfc05af41c69f39cfacc88', '4cd033a56b19f87f6adfefeef5fcc990306ecf40', '285d13bf3cbe6a8a0f164f584d84f8b74067271f', 'a747e8f2659df479c0092301b9658fc582423df1', 'e89c37b7c2ff465db43c4b9f674867ec4b98aa8b', '215fc60307f741b9db059204e41db8bfb879e606', '3c68025d95970a9b9aa1b742a678704cd09d2bf4', '0427110f0e79f41e69a8eb00a3ec8868bac26a4f', 'f497c1ece7b6f3560bb39958e2673f476d608f98', '78b2d392ebb100a220ceab6529d26909b27eaa32', '0574de8b7ea2048a78ae9d2b5d26f315e6fa1ee7', '549e933821fdf7cd0309dacaae99c8284cbfcc24', 'e5194ae88d63c7549678b1b73cfdaf7112164272', 'cb03b665069dad5e895a2c244929ea427f1fb9d1', 'b067177b1e17287185eb3b82ccc3d7c646b3ec40', 'b0b770fb8c7760749c88e3c83ae173cdb07f7bd5', '4b1280229ced73f6c86550f24ef01490fde52285', '43bafb4997515d2904abfca8214f2fc806680fc3', 'b48cf1158ea6fb8347aac390ac3303efe697e305', 'f4c4e148546089123f8da5db4fb246ab4062bd40', '3ca3ff98405b43fab32dcd7cbd6bd34261386e35']"
33ec7eb2168e37e3007d1059aa96b9a63254b4da,"['10aa2be24951e6de76b630482a645d79354c4cde', '2396dbcfe1f7f9dafc6696c3c06b16fd3029f7a0', '3a7bbc46795929f0eace82b64c44c92a48682fb5', '74b63c4cdc719a646ce014d084a0ce0ac66d9139', 'c997ed5ac5772bb0fce8bb11b8c86bc33310f39a', '6fb020754f6de564c3a0a07bb656c0a90be1f87d', '68a3d32416977e88cf1bfa4ad548d403f5f089d6', 'beb890d47bbc21a96967f9993c9d6e15686b2eac', '1cff064f815111a71a98afda7aee1867ad617901', 'd2a5dcecd2ffdf03473df1688091f08fadb114a3', 'eef23d76e175c0cff8e81ffcb2721c10539c8cbd', 'ed935c6b359a7a486c28240d796e84897d095125', 'f8e57fa370fe10147aa22714e08409fc1b7dae4b', '152877c51df17cdd4a87d19e452c6daecfadf6c3', 'd1ae4ab5047489c2b010c7ce72262982ad66ad60', '89a30b5dab02c9c390a632acad481fa602859272', '43ccf5d54ed038738af54009a5a9166af05471c7', 'b613887337a5d2e8fc8773037116be81e6346835', '1cf2e9e198feef3893da2800a7949f6880ddc084', 'be7cb8f79bc018e57467168fc0c7f8ad59bba04f', '6fed828456964d29517f6caf31b700d8aec82153', '4875aa46599dc2d7e8292fc563347cf78fa12c8d', '37b9478b792fb1e7ad5f2c322ed4445b93df6c9e', '83cebf919635504786fc220d569284842b0f0a09', '8f2cf30f9c825d8ef7d622601dbd525ace95e025', 'dc10a3f4dae2db48148ff6781454ddcc856ae8da', '185e7d2a761594451b02ace240356dadad2aef78', '7904b3446775ed8c79f4f94001a16b706989c462', '33e332837e91c1048c3ed165cd16bf7607c3bf06', 'db6084fdb3baceddacdc726474722debe1ef7e65', 'e7b0e2710821a9fe1e3d2b9a09dd94514b2d5ea5', 'd93bcf0685c15c45d078eafea565969c04daccd3', '0574de8b7ea2048a78ae9d2b5d26f315e6fa1ee7', '1ddb24103c5089fd2bdfc05af41c69f39cfacc88', '97f456643712e9618edd7465676c62af3c8ae690', '746a81aa26d3ebfb81acfd6af958d6a21603cd21']"
13c4e5a6122f3fa2663f63e49537091da6532f35,"['ca115a9eb54e2875b9d4c4c3d5ed8adcb399dbf8', '4b1280229ced73f6c86550f24ef01490fde52285', '3ea34401909978d3d3d0c25c8746e02c7d2a7c77', 'c997ed5ac5772bb0fce8bb11b8c86bc33310f39a', '5290d7921f0266c8b50b79fc8a0b7d22868f4f60', '32c1e0f9ef6f1e337fe4aa2a4907314e5a3f4a5b', 'dec26f0640e3a4fdb116735526302ccb9f49867e', 'b0b770fb8c7760749c88e3c83ae173cdb07f7bd5', 'dc10a3f4dae2db48148ff6781454ddcc856ae8da', '834cdfca7cc041a6fa0db3da5493c6754bea845b', '5cb8f417d171ae329adf446820bd32d8b49d8c04', '1dec1180add808a482a45f9afd15cc70129d6bbe', '549e933821fdf7cd0309dacaae99c8284cbfcc24', '194073c405e9c362c955e9ac31979ddbc037ff8d', '3994334c81478a4b17341eb1f494dbccbb73d999', '5e31fa4e69d1a3587230f5d134c0b7e2ed84a742', 'e1e43d6bdb1419e08af833cf4899a460f70da26c', '3faeb21fe256b99391d69570053a8c2d91e9f348', 'be7cb8f79bc018e57467168fc0c7f8ad59bba04f', '0258bab20bc8574ee602012081a17db89339f12d', '7571ed4cf1bbdcf891b576a0da12c910b1f0c72f', 'ade9a900acc3c138021070537840488526796d35', 'f8e57fa370fe10147aa22714e08409fc1b7dae4b', '390bcf15a1b13cb0d5966859c35c69a31238e838', 'd1206ccabd1980848f14472d6548251c2fab7963', '9eea59c34f139f3d2153226c8cf026e975622074', 'e57aeb158a38ccf33d2f0f5a8f63f1209497e329', '787ae2c51cd82b904bb4fb9ccb15266381af5436', '10aa2be24951e6de76b630482a645d79354c4cde', '89858723bec341178f2b00d34ea3016baaaf71a6', '448959eff044f02040ded5afd483b7c4e811b0ac', 'bcc82ce554942880814243fc8c08a88b9d2aad09', 'd9d325ca670a1aa215e3e39023f8abf17dae7584', 'eef23d76e175c0cff8e81ffcb2721c10539c8cbd', '71ba8a8c75e0826f94eb53ee7a4566d4fc5b5256', 'b4af1cbb4d3a03d3ad7930b906fc7bf6870180cc', 'b977e8de38dc0d13817bca1ed20036badfe2a58c', 'c4cdf2e0d89aadb13bf9c61654ff9e17be2b01b9']"
97906df07855b029b7aae7c2a1c6c5e8df1d531c,"['1cf2e9e198feef3893da2800a7949f6880ddc084', 'f9253a3e2627f1c2a0a7e2cea320a4ec4e4d2ff9', 'd235a9085e0543fcbe502fbc269f9a8ee01dcbab', '957f5b1e7ca48891c2e279aefbfa0f04d989c21e', '30f233eecca2239ee1dd754914324092e53f8f19', '3b87dafd5a412e25e06761f181ec199ca88a7398', '7571ed4cf1bbdcf891b576a0da12c910b1f0c72f', 'e5a1cfcd07dcfd8b1feec9c635dadc858cde8166', '83ea80a9393177ecf84928f4bd1120fb679f180c', '008068e3d9e9e3d417bf21a4c0688b6af4515aec', '58ed1fbaabe027345f7bb3a6312d41c5aac63e22', '4875aa46599dc2d7e8292fc563347cf78fa12c8d', '047286f5b9315a8e8bf56c4fc936e62f21495892', '598231eb906b183f7a2a408ef4536127e11e3de9', 'ef35da3a3c471a6a15c7a3b09586483eb50cbef0', 'ce9ca56036307217ea565644d3d3bd74b879e045', '8dce62b18bdea587c07cb4769a05ca0a816d09ba', '45674df7143e43bc589cfabd26dd194c2a7f090d', '013eb12ce5468f79d58bf859653f4929c5a2bd14', '63d8426ba1f51a8525dd19fd8ec92934ec71aea5', 'beb890d47bbc21a96967f9993c9d6e15686b2eac']"
63d8426ba1f51a8525dd19fd8ec92934ec71aea5,"['3a9f7c5bdd7f9560bf150332e97d6b1facdfce9b', '9a0965beef113cc37491004b1848149e00300561', '834cdfca7cc041a6fa0db3da5493c6754bea845b', '21042565ec941f4fa31ac5a0af85a1a84ff21f1b', '4fcfe83c05402b5c5fb6e853082e74af6379d7f9', 'dad8965c5a4c0a0ea1eb3837c6a9c3b42597c2ce', '322d91190acd8ac8c64598f5126947b0485ba249', '8dce62b18bdea587c07cb4769a05ca0a816d09ba', '9b54941de1e21826ecc28b32730ac3f69991ede4', '0574de8b7ea2048a78ae9d2b5d26f315e6fa1ee7', '6be56f559a74c0124526242e70cbdfd16cbc60a7', 'be082d70534db088315f2cc5b42c2fdcd58c1b8c', '621c2624fed596cec0fdefedd55c70e403521508', '6e74403ab75d0080c056fd66702ab1f54f04d9b1', '3dd7f7118ee174265889d00d100cfe2a02871be8', '0a71dd8bec060195e14eb9d0a7abbc08d960d4d5', 'fb8e253b8b0358a7b95ddc9ac4c74f93513a9c53', '30f233eecca2239ee1dd754914324092e53f8f19', '43ccf5d54ed038738af54009a5a9166af05471c7', '25761ba4bdc054bfe902fe7c5d6338be6d00d491', '329d31f881a17861eedeef6a9d8fd509cddd2b7c', '182180bd69ea6d2f59225ded5ddc900b8558ab9f', 'e67a2817089312746d69b38ce9abfdc4b1bc69c3', 'dde4abfd83fb61a794bd6c7d6e1991a67467c7ee', 'f3b8a3ffa0bdfe5578e0f0f44ea3b66cad38c032', 'fb5413afba689d16543215c5a2ddbc5b78a52007', '7c24234042988e2f820a4350f43422ed2ad6fc52', 'e5d720767b7a539bb2edaa98eaf572a4506a79c6', 'dca4d9abbc82e57dfa52f932e893d467a63e0682', 'ce9ca56036307217ea565644d3d3bd74b879e045', '390bcf15a1b13cb0d5966859c35c69a31238e838', '5290d7921f0266c8b50b79fc8a0b7d22868f4f60', 'd88c1255876b62fb5f5a8b292098ca430710a540', 'eadb1e7da375939e25083ae3936c4f4ef1f2a719', 'b000a4b30f6206f6cfb033a79aad1ba810c972a4', '09797949fc70fbad8f3fed4f6cf4a91a9c709652', '950850e22e42201f152d90dc6f53d53e39d37657', '74b63c4cdc719a646ce014d084a0ce0ac66d9139', '83ea80a9393177ecf84928f4bd1120fb679f180c']"
f4c4e148546089123f8da5db4fb246ab4062bd40,"['8dce62b18bdea587c07cb4769a05ca0a816d09ba', '21042565ec941f4fa31ac5a0af85a1a84ff21f1b', '3cc2f69951cd24fe61be4cf32d62afbac297bc2b', 'c9b56cb026a38e39bb0228faac57accd6f65e6f7', '6a4ae4b2f667c00789d88b0399e79ff0368a8681', '3db1841fd5f2561a11dfbd8173616b3e695c84a1', '1eaab9b33f1261744567455a14830e8a92796cf5', '9a0965beef113cc37491004b1848149e00300561', 'e248993daede136713e93929816df92b48ccddfb', '10b4b926904ad153f791ec680218e1610747a0c8', 'eff6546819d25df0bccdc89f02554a43a4f1c464', 'dde4abfd83fb61a794bd6c7d6e1991a67467c7ee', 'c6879e43828b293567f5e2da039d23845189d6a7', '087dd95e13efd47aef2a6582e6801b39fc0f83d8', '9a0424bdd12cdcdf45b556b0b9dcc6fc5a55520b', 'db528269ef800727245c0fcb35b692d29c1ccdc9', 'e67a2817089312746d69b38ce9abfdc4b1bc69c3', 'e75cb933d387ecb184010ff07d0ee43fc1750e2a', 'cb03b665069dad5e895a2c244929ea427f1fb9d1', '28a5a53dafacebad8a7c47773079caeffb9a5baa', '30f233eecca2239ee1dd754914324092e53f8f19', 'c30c0092bf4eb8a44faec3fc60cdd5006276bcdc', '155eeede0c070f1f017ba5c9f6cacd7ae0b098aa', 'baafed5f8968118af04dbbb1cf172f1c10bede25', 'a0f788f6de0fb83d623c875a98120e3f347f70d1', '9675f7484a4d3d278a5a637f75a1b81d7d008c4e', '0427110f0e79f41e69a8eb00a3ec8868bac26a4f', '2ddcd47b28eb4b43317a34cf56e83309f5347699', '00cd2650a89734105fa0c0aba3bf07935b318290', '3e53b6d0d30be2a802c6b7b34b75f6e67ab8204f', 'da5d78b3e3a1544fde98fba86088e1215e97cbe8', '6ea4bd1d842d7ab689b7ceb22927e48b9e5ad786', '7904b3446775ed8c79f4f94001a16b706989c462', '86d3beff240b6c882058455e098a571de86564f5', 'd84ed05ab860b75f9e6b28e717abf4bc12da03d7', 'ce9ca56036307217ea565644d3d3bd74b879e045', 'a6b7b5dbd1eb6ac765cdb9c9f70b90aa11e45854', 'be082d70534db088315f2cc5b42c2fdcd58c1b8c', '3924aa213ff891812c66a6909ab902684d3eb107']"
