field_query,paperId,title,url,publicationTypes,abstract,year,citationCount,journal_volume,authorIds,corresponding_author,venue,number_reviewers,reviewers,approved,comments,proceedings,edition,journal_name,keywords
NLP,29ddc1f43f28af7c846515e32cc167bc66886d0c,Parameter-Efficient Transfer Learning for NLP,https://www.semanticscholar.org/paper/29ddc1f43f28af7c846515e32cc167bc66886d0c,Conference,"Fine-tuning large pre-trained models is an effective transfer mechanism in NLP. However, in the presence of many downstream tasks, fine-tuning is parameter inefficient: an entire new model is required for every task. As an alternative, we propose transfer with adapter modules. Adapter modules yield a compact and extensible model; they add only a few trainable parameters per task, and new tasks can be added without revisiting previous ones. The parameters of the original network remain fixed, yielding a high degree of parameter sharing. To demonstrate adapter's effectiveness, we transfer the recently proposed BERT Transformer model to 26 diverse text classification tasks, including the GLUE benchmark. Adapters attain near state-of-the-art performance, whilst adding only a few parameters per task. On GLUE, we attain within 0.4% of the performance of full fine-tuning, adding only 3.6% parameters per task. By contrast, fine-tuning trains 100% of the parameters per task.",2019,2453,,"[2815290.0, 1911881.0, 40569328.0, 68973833.0, 51985388.0, 2813347.0, 2809991.0, 1802148.0]",2815290.0,Nicosia,2,"[50052368.0, 115300694.0]",Y,"['In the videos, it seems like the robot could get a slightly better view if it took another couple of steps.', 'Algorithm 1 does not make clear the relationship between the model learned in step 2 and the algorithms in steps 4 to 6.']",International Conference on Machine Learning,19.0,,"['task', 'parameters', 'transfer', 'nlp', 'NLP']"
NLP,58ed1fbaabe027345f7bb3a6312d41c5aac63e22,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,https://www.semanticscholar.org/paper/58ed1fbaabe027345f7bb3a6312d41c5aac63e22,JournalArticle,"Large pre-trained language models have been shown to store factual knowledge in their parameters, and achieve state-of-the-art results when fine-tuned on downstream NLP tasks. However, their ability to access and precisely manipulate knowledge is still limited, and hence on knowledge-intensive tasks, their performance lags behind task-specific architectures. Additionally, providing provenance for their decisions and updating their world knowledge remain open research problems. Pre-trained models with a differentiable access mechanism to explicit non-parametric memory can overcome this issue, but have so far been only investigated for extractive downstream tasks. We explore a general-purpose fine-tuning recipe for retrieval-augmented generation (RAG) -- models which combine pre-trained parametric and non-parametric memory for language generation. We introduce RAG models where the parametric memory is a pre-trained seq2seq model and the non-parametric memory is a dense vector index of Wikipedia, accessed with a pre-trained neural retriever. We compare two RAG formulations, one which conditions on the same retrieved passages across the whole generated sequence, the other can use different passages per token. We fine-tune and evaluate our models on a wide range of knowledge-intensive NLP tasks and set the state-of-the-art on three open domain QA tasks, outperforming parametric seq2seq models and task-specific retrieve-and-extract architectures. For language generation tasks, we find that RAG models generate more specific, diverse and factual language than a state-of-the-art parametric-only seq2seq baseline.",2020,1686,abs/2005.11401,"[145222654.0, 3439053.0, 1716179427.0, 40052301.0, 2067091563.0, 39589154.0, 103131985.0, 35084211.0, 144105277.0, 2620211.0, 48662861.0, 1743722.0]",145222654.0,Moscow,3,"[2151900144.0, 46307329.0, 2542999.0]",Y,"['2. The experimental results are fairly weak compared to the other methods that also uses many layers.', '3. This paper lack original technical contribution from themselves.', 'The paper briefly mentions supervising attention models using such boxes, but it isn’t clear how bounding boxes for data points could be used.']",,,Neural Information Processing Systems,"['models', 'tasks', 'language', 'nlp', 'NLP']"
NLP,d6a083dad7114f3a39adc65c09bfbb6cf3fee9ea,Energy and Policy Considerations for Deep Learning in NLP,https://www.semanticscholar.org/paper/d6a083dad7114f3a39adc65c09bfbb6cf3fee9ea,Conference,"Recent progress in hardware and methodology for training neural networks has ushered in a new generation of large networks trained on abundant data. These models have obtained notable gains in accuracy across many NLP tasks. However, these accuracy improvements depend on the availability of exceptionally large computational resources that necessitate similarly substantial energy consumption. As a result these models are costly to train and develop, both financially, due to the cost of hardware and electricity or cloud compute time, and environmentally, due to the carbon footprint required to fuel modern tensor processing hardware. In this paper we bring this issue to the attention of NLP researchers by quantifying the approximate financial and environmental costs of training a variety of recently successful neural network models for NLP. Based on these findings, we propose actionable recommendations to reduce costs and improve equity in NLP research and practice.",2019,2113,,"[2268272.0, 47079359.0, 143753639.0]",2268272.0,Bratislava,3,"[38608914.0, 2285816475.0, 2109716565.0]",Y,"['1. The authors claimed that this is the first end-to-end trainable hierarchical attention model, but there is a previous work that also addressed the similar task: Seo et al, Progressive Attention Networks for Visual Attribute Prediction, in Arxiv preprint:1606.02393, 2016', 'on the positive side: The paper is well written, quality and clarity of the work are good.', 'There are many typos (e.g., ""This advantage is also its difficulty"", ""Much previous work on language modeling has evaluated "", ""We focus in on the task"", and others) so the writing needs to be significantly improved for it to be a conference paper, preferably with some help from a native English speaker.']",Annual Meeting of the Association for Computational Linguistics,19.0,,"['nlp', 'hardware', 'networks', 'models', 'NLP']"
NLP,d6a083dad7114f3a39adc65c09bfbb6cf3fee9ea,Energy and Policy Considerations for Deep Learning in NLP,https://www.semanticscholar.org/paper/d6a083dad7114f3a39adc65c09bfbb6cf3fee9ea,Conference,"Recent progress in hardware and methodology for training neural networks has ushered in a new generation of large networks trained on abundant data. These models have obtained notable gains in accuracy across many NLP tasks. However, these accuracy improvements depend on the availability of exceptionally large computational resources that necessitate similarly substantial energy consumption. As a result these models are costly to train and develop, both financially, due to the cost of hardware and electricity or cloud compute time, and environmentally, due to the carbon footprint required to fuel modern tensor processing hardware. In this paper we bring this issue to the attention of NLP researchers by quantifying the approximate financial and environmental costs of training a variety of recently successful neural network models for NLP. Based on these findings, we propose actionable recommendations to reduce costs and improve equity in NLP research and practice.",2019,2113,,"[2268272.0, 47079359.0, 143753639.0]",2268272.0,Bratislava,3,"[38608914.0, 2285816475.0, 2109716565.0]",Y,"['1. The authors claimed that this is the first end-to-end trainable hierarchical attention model, but there is a previous work that also addressed the similar task: Seo et al, Progressive Attention Networks for Visual Attribute Prediction, in Arxiv preprint:1606.02393, 2016', 'on the positive side: The paper is well written, quality and clarity of the work are good.', 'There are many typos (e.g., ""This advantage is also its difficulty"", ""Much previous work on language modeling has evaluated "", ""We focus in on the task"", and others) so the writing needs to be significantly improved for it to be a conference paper, preferably with some help from a native English speaker.']",Annual Meeting of the Association for Computational Linguistics,19.0,,"['hardware', 'nlp', 'networks', 'deep learning', 'NLP']"
Deep Learning,d6a083dad7114f3a39adc65c09bfbb6cf3fee9ea,Energy and Policy Considerations for Deep Learning in NLP,https://www.semanticscholar.org/paper/d6a083dad7114f3a39adc65c09bfbb6cf3fee9ea,Conference,"Recent progress in hardware and methodology for training neural networks has ushered in a new generation of large networks trained on abundant data. These models have obtained notable gains in accuracy across many NLP tasks. However, these accuracy improvements depend on the availability of exceptionally large computational resources that necessitate similarly substantial energy consumption. As a result these models are costly to train and develop, both financially, due to the cost of hardware and electricity or cloud compute time, and environmentally, due to the carbon footprint required to fuel modern tensor processing hardware. In this paper we bring this issue to the attention of NLP researchers by quantifying the approximate financial and environmental costs of training a variety of recently successful neural network models for NLP. Based on these findings, we propose actionable recommendations to reduce costs and improve equity in NLP research and practice.",2019,2113,,"[2268272.0, 47079359.0, 143753639.0]",2268272.0,Bucharest,2,"[2420527.0, 3062937.0]",Y,"['The graphs plot number of noisy labels per clean label so a alpha of 100 would imply 1 right label and 100 noisy labels for total 101 labels.', 'Is this implying that the gradients wrt off-diagonal entries of the controller weight matrix are 0 under the diagonal initialization, hence the off-diagonal entries remain zero after learning?']",Annual Meeting of the Association for Computational Linguistics,19.0,,"['nlp', 'hardware', 'networks', 'models', 'Deep Learning']"
Deep Learning,d6a083dad7114f3a39adc65c09bfbb6cf3fee9ea,Energy and Policy Considerations for Deep Learning in NLP,https://www.semanticscholar.org/paper/d6a083dad7114f3a39adc65c09bfbb6cf3fee9ea,Conference,"Recent progress in hardware and methodology for training neural networks has ushered in a new generation of large networks trained on abundant data. These models have obtained notable gains in accuracy across many NLP tasks. However, these accuracy improvements depend on the availability of exceptionally large computational resources that necessitate similarly substantial energy consumption. As a result these models are costly to train and develop, both financially, due to the cost of hardware and electricity or cloud compute time, and environmentally, due to the carbon footprint required to fuel modern tensor processing hardware. In this paper we bring this issue to the attention of NLP researchers by quantifying the approximate financial and environmental costs of training a variety of recently successful neural network models for NLP. Based on these findings, we propose actionable recommendations to reduce costs and improve equity in NLP research and practice.",2019,2113,,"[2268272.0, 47079359.0, 143753639.0]",2268272.0,Bucharest,2,"[2420527.0, 3062937.0]",Y,"['The graphs plot number of noisy labels per clean label so a alpha of 100 would imply 1 right label and 100 noisy labels for total 101 labels.', 'Is this implying that the gradients wrt off-diagonal entries of the controller weight matrix are 0 under the diagonal initialization, hence the off-diagonal entries remain zero after learning?']",Annual Meeting of the Association for Computational Linguistics,19.0,,"['hardware', 'nlp', 'networks', 'deep learning', 'Deep Learning']"
NLP,06d7cb8c8816360feb33c3367073e0ef66d7d0b0,Super-NaturalInstructions: Generalization via Declarative Instructions on 1600+ NLP Tasks,https://www.semanticscholar.org/paper/06d7cb8c8816360feb33c3367073e0ef66d7d0b0,Conference,"How well can NLP models generalize to a variety of unseen tasks when provided with task instructions? To address this question, we first introduce Super-NaturalInstructions, a benchmark of 1,616 diverse NLP tasks and their expert-written instructions. Our collection covers 76 distinct task types, including but not limited to classification, extraction, infilling, sequence tagging, text rewriting, and text composition. This large and diverse collection of tasks enables rigorous benchmarking of cross-task generalization under instructions—training models to follow instructions on a subset of tasks and evaluating them on the remaining unseen ones.Furthermore, we build Tk-Instruct, a transformer model trained to follow a variety of in-context instructions (plain language task definitions or k-shot examples). Our experiments show that Tk-Instruct outperforms existing instruction-following models such as InstructGPT by over 9% on our benchmark despite being an order of magnitude smaller. We further analyze generalization as a function of various scaling parameters, such as the number of observed tasks, the number of instances per task, and model sizes. We hope our dataset and model facilitate future progress towards more general-purpose NLP models.",2022,432,,"[1705260.0, 1817207.0, 1805993128.0, 2156538832.0, 2162779320.0, 1667817604.0, 2063938464.0, 2162779517.0, 2064353087.0, 1689466093.0, 2074097046.0, 8458211.0, 2162779839.0, 93841942.0, 9377739.0, 2110871234.0, 2158994272.0, 2162779709.0, 81331041.0, 50494955.0, 40879549.0, 1423660254.0, 1576655836.0, 2067056655.0, 2162781785.0, 39765564.0, 2159207824.0, 72254820.0, 51479145.0, 1380075136.0, 2112127876.0, 2150098899.0, 19255781.0, 2126503480.0, 2144058688.0, 2064619864.0, 1699545.0, 144365875.0, 2548384.0, 1783281.0]",1705260.0,Vienna,2,"[153475895.0, 1753223.0]",Y,"['Good contribution, paper needs to be made clearer This paper thoroughly analyzes an algorithmic task (determining if two points in a maze are connected, which requires BFS to solve) by constructing an explicit ConvNet solution and analytically deriving properties of the loss surface around this analytical solution.', 'Considering representative synthetic problems is a good idea, but it is not clear to me why this particular choice is useful for the purpose.']",Conference on Empirical Methods in Natural Language Processing,22.0,,"['instructions', 'nlp', 'models', 'tasks', 'NLP']"
NLP,5471114e37448bea2457b74894b1ecb92bbcfdf6,From Pretraining Data to Language Models to Downstream Tasks: Tracking the Trails of Political Biases Leading to Unfair NLP Models,https://www.semanticscholar.org/paper/5471114e37448bea2457b74894b1ecb92bbcfdf6,Conference,"Language models (LMs) are pretrained on diverse data sources—news, discussion forums, books, online encyclopedias. A significant portion of this data includes facts and opinions which, on one hand, celebrate democracy and diversity of ideas, and on the other hand are inherently socially biased. Our work develops new methods to (1) measure media biases in LMs trained on such corpora, along social and economic axes, and (2) measure the fairness of downstream NLP models trained on top of politically biased LMs. We focus on hate speech and misinformation detection, aiming to empirically quantify the effects of political (social, economic) biases in pretraining data on the fairness of high-stakes social-oriented tasks. Our findings reveal that pretrained LMs do have political leanings which reinforce the polarization present in pretraining corpora, propagating social biases into hate speech predictions and media biases into misinformation detectors. We discuss the implications of our findings for NLP research and propose future directions to mitigate unfairness.",2023,72,,"[2114887261.0, 50487261.0, 2169159066.0, 2073587169.0]",2114887261.0,Andorra,3,"[47540245.0, 2113511266.0, 2152050780.0]",Y,"['The particular structural elements also induce certain inductive biases which make learning or generalization easier in many cases.', 'The manuscript mainly presents a cheap pruning algorithm for dense layers of DNNs.', 'The main novelty in this paper is that it uses the label as a third view of a multi-view model and make use of cross moments.']",Annual Meeting of the Association for Computational Linguistics,23.0,,"['lms', 'biases', 'data', 'nlp', 'NLP']"
NLP,13c4e5a6122f3fa2663f63e49537091da6532f35,Are NLP Models really able to Solve Simple Math Word Problems?,https://www.semanticscholar.org/paper/13c4e5a6122f3fa2663f63e49537091da6532f35,Conference,"The problem of designing NLP solvers for math word problems (MWP) has seen sustained research activity and steady gains in the test accuracy. Since existing solvers achieve high performance on the benchmark datasets for elementary level MWPs containing one-unknown arithmetic word problems, such problems are often considered “solved” with the bulk of research attention moving to more complex MWPs. In this paper, we restrict our attention to English MWPs taught in grades four and lower. We provide strong evidence that the existing MWP solvers rely on shallow heuristics to achieve high performance on the benchmark datasets. To this end, we show that MWP solvers that do not have access to the question asked in the MWP can still solve a large fraction of MWPs. Similarly, models that treat MWPs as bag-of-words can also achieve surprisingly high accuracy. Further, we introduce a challenge dataset, SVAMP, created by applying carefully chosen variations over examples sampled from existing datasets. The best accuracy achieved by state-of-the-art models is substantially lower on SVAMP, thus showing that much remains to be done even for the simplest of the MWPs.",2021,385,,"[1443788809.0, 92954142.0, 144260125.0]",1443788809.0,Dublin,3,"[2805081.0, 2146671969.0, 2328103.0]",Y,"['If this is not the case for some reason, more detailed explanation is needed.', '6. Figure 4 seems a bit misleading.', 'This seems at odds with models, such as DRAW, evaluate the likelihood -- once at the end of the generative drawing process.']",North American Chapter of the Association for Computational Linguistics,21.0,,"['mwps', 'solvers', 'mwp', 'nlp', 'NLP']"
NLP,33ec7eb2168e37e3007d1059aa96b9a63254b4da,Beyond Accuracy: Behavioral Testing of NLP Models with CheckList,https://www.semanticscholar.org/paper/33ec7eb2168e37e3007d1059aa96b9a63254b4da,Conference,"Although measuring held-out accuracy has been the primary approach to evaluate generalization, it often overestimates the performance of NLP models, while alternative approaches for evaluating models either focus on individual tasks or on specific behaviors. Inspired by principles of behavioral testing in software engineering, we introduce CheckList, a task-agnostic methodology for testing NLP models. CheckList includes a matrix of general linguistic capabilities and test types that facilitate comprehensive test ideation, as well as a software tool to generate a large and diverse number of test cases quickly. We illustrate the utility of CheckList with tests for three tasks, identifying critical failures in both commercial and state-of-art models. In a user study, a team responsible for a commercial sentiment analysis model found new and actionable bugs in an extensively tested model. In another user study, NLP practitioners with CheckList created twice as many tests, and found almost three times as many bugs as users without it.",2020,866,,"[78846919.0, 35232494.0, 1730156.0, 34650964.0]",78846919.0,San Marino,3,"[2868254.0, 89843190.0, 1707355.0]",Y,"['The paper is based on the cyclical learning rates proposed by Smith (2015, 2017).', 'In Tables 7 and 8, the human beings agree with the LeNet in >= 58% of cases.', 'However, batch normalization only sees the variation in the activations given to it by a SPECIFIC set of weights.']",Annual Meeting of the Association for Computational Linguistics,20.0,,"['nlp', 'models', 'checklist', 'test', 'NLP']"
