authorId,name
2815290,N. Houlsby
1911881,A. Giurgiu
40569328,Stanislaw Jastrzebski
68973833,Bruna Morrone
51985388,Quentin de Laroussilhe
2813347,Andrea Gesmundo
2809991,Mona Attariyan
1802148,S. Gelly
145222654,Patrick Lewis
3439053,Ethan Perez
1716179427,Aleksandara Piktus
40052301,F. Petroni
2067091563,Vladimir Karpukhin
39589154,Naman Goyal
103131985,Heinrich Kuttler
35084211,M. Lewis
144105277,Wen-tau Yih
2620211,Tim Rocktäschel
48662861,Sebastian Riedel
1743722,Douwe Kiela
2268272,Emma Strubell
47079359,Ananya Ganesh
143753639,A. McCallum
1705260,Yizhong Wang
1817207,Swaroop Mishra
1805993128,Pegah Alipoormolabashi
2156538832,Yeganeh Kordi
2162779320,Amirreza Mirzaei
1667817604,Anjana Arunkumar
2063938464,Arjun Ashok
2162779517,Arut Selvan Dhanasekaran
2064353087,Atharva Naik
1689466093,David Stap
2074097046,Eshaan Pathak
8458211,Giannis Karamanolakis
2162779839,H. Lai
93841942,I. Purohit
9377739,Ishani Mondal
2110871234,Jacob Anderson
2158994272,Kirby Kuznia
2162779709,Krima Doshi
81331041,Maitreya Patel
50494955,Kuntal Kumar Pal
40879549,M. Moradshahi
1423660254,Mihir Parmar
1576655836,Mirali Purohit
2067056655,Neeraj Varshney
2162781785,Phani Rohitha Kaza
39765564,Pulkit Verma
2159207824,Ravsehaj Singh Puri
72254820,Rushang Karia
51479145,Shailaja Keyur Sampat
1380075136,Savan Doshi
2112127876,S. Mishra
2150098899,Sujan Reddy
19255781,Sumanta Patro
2126503480,Tanay Dixit
2144058688,Xudong Shen
2064619864,Chitta Baral
1699545,Yejin Choi
144365875,Noah A. Smith
2548384,Hannaneh Hajishirzi
1783281,Daniel Khashabi
2114887261,Shangbin Feng
50487261,Chan Young Park
2169159066,Yuhan Liu
2073587169,Yulia Tsvetkov
1443788809,Arkil Patel
92954142,S. Bhattamishra
144260125,Navin Goyal
78846919,Marco Tulio Ribeiro
35232494,Tongshuang Sherry Wu
1730156,Carlos Guestrin
34650964,Sameer Singh
2120664,Bishal Lamichhane
152913678,Steven Y. Feng
3375999,Varun Gangal
144026731,Jason Wei
123607932,Sarath Chandar
1918441,Soroush Vosoughi
1706595,T. Mitamura
144547315,E. Hovy
6117577,Ian Tenney
143790066,Dipanjan Das
2949185,Ellie Pavlick
104406084,Adam Zaremba
16775568,Ender Demir
3422038,Su Lin Blodgett
2881033,Solon Barocas
2065041692,Hal Daum'e
1831395,Hanna M. Wallach
153769695,John X. Morris
1453652787,Eli Lifland
1693182792,Jin Yong Yoo
1829303908,J. Grigsby
2068347799,Di Jin
121817403,Yanjun Qi
47070483,Pratik M. Joshi
50074956,Sebastin Santy
2410839,A. Budhiraja
3086996,Kalika Bali
143990839,M. Choudhury
41016275,Alon Jacovi
79775260,Yoav Goldberg
41052836,Anya Belz
2122535749,Craig Thomson
2113922820,Ehud Reiter
17038002,Gavin Abercrombie
2151319597,J. Alonso-Moral
9364658,Mohammad Arvan
3159752,J. Cheung
2648584,Mark Cieliebak
40684993,Elizabeth Clark
10708829,K. V. Deemter
72115354,Tanvi Dinkar
2544049,Ondrej Dusek
2620186,Steffen Eger
1720986506,Qixiang Fang
1700894,Albert Gatt
2921637,Dimitra Gkatzia
2215866480,Javier Gonz'alez-Corbelle
2022288,Dirk Hovy
2165661802,Manuela Hurlimann
119804885,Takumi Ito
1380281888,John D. Kelleher
3201315,Filip Klubicka
66376493,Huiyuan Lai
50521235,Chris van der Lee
3192572,Emiel van Miltenburg
2142159995,Yiru Li
2221260,Saad Mahamood
2921990,Margot Mieskes
2742475,M. Nissim
2326758,Natalie Parde
2201327940,Ondvrej Pl'atek
1681799,Verena Rieser
2150388522,Pablo Romero
2086973507,Joel Tetreault
2065048323,Antonio Toral
9714242,Xiao-Yi Wan
9092408,L. Wanner
145148787,Lewis J. Watson
2143919864,Diyi Yang
151207081,Shreyansh Goyal
2072738714,Sumanth Doddapaneni
2361078,Mitesh M. Khapra
2059566473,B. Ravindran
144112155,O. Khattab
50818255,Keshav Santhanam
32551341,Xiang Lisa Li
145385471,David Leo Wright Hall
145419642,Percy Liang
144922861,Christopher Potts
143834867,M. Zaharia
1743722,Douwe Kiela
153408953,Max Bartolo
40383658,Yixin Nie
9264826,Divyansh Kaushik
80833908,Atticus Geiger
47039337,Zhengxuan Wu
2737827,Bertie Vidgen
119869488,Grusha Prasad
1422035486,Pratik Ringshia
1736107,Zhiyi Ma
1500242049,Tristan Thrush
48662861,Sebastian Riedel
2138053020,Zeerak Talat
1918552,Pontus Stenetorp
3422908,Robin Jia
143977268,Mohit Bansal
144922861,Christopher Potts
2110032535,Adina Williams
48727916,Jay DeYoung
49837811,Sarthak Jain
8937909,Nazneen Rajani
51172373,Eric P. Lehman
2228109,Caiming Xiong
2166511,R. Socher
1912476,Byron C. Wallace
8129718,Alham Fikri Aji
9162688,Genta Indra Winata
2789148,Fajri Koto
66986482,Samuel Cahyawijaya
2279712392,Ade Romadhony
1935324,Rahmad Mahendra
46199596,Kemal Kurniawan
35722593,David Moeljadi
2368148,Radityo Eko Prasojo
145465286,Timothy Baldwin
1800564,Jey Han Lau
2124014463,Sebastian Ruder
2064295987,Daniel Hershcovich
37922370,Stella Frank
49568895,Heather Lent
3295381,Miryam de Lhoneux
30671790,Mostafa Abdou
6547490,Stephanie Brandl
83574123,Emanuele Bugliarello
2093582149,Laura Cabello Piqueras
2125376289,Ilias Chalkidis
1717462692,Ruixiang Cui
50110151,Constanza Fierro
82259306,Katerina Margatina
1660797358,Phillip Rust
1700187,Anders Søgaard
2403712,A. Akbik
2077245166,Tanja Bergmann
2725328,Duncan A. J. Blythe
4565995,Kashif Rasul
134757625,Stefan Schweter
2742129,Roland Vollgraf
32246932,Timo Schick
40941940,Sahana Udupa
144418438,Hinrich Schütze
3449411,Dieuwke Hupkes
24068173,Mario Giulianelli
74461595,Verna Dankers
2347956,Mikel Artetxe
51131518,Yanai Elazar
1388571351,Tiago Pimentel
2718039,Christos Christodoulopoulos
51121444,Karim Lasri
2362960,Naomi Saphra
153915609,Arabella J. Sinclair
133864309,Dennis Ulmer
2187058204,Florian Schottmann
2049136,Khuyagbaatar Batsuren
2087314342,Kaiser Sun
40910779,Koustuv Sinha
50824937,Leila Khalatbari
1410648718,Maria Ryskina
1397300094,Rita Frieske
2070989574,Ryan Cotterell
2111472502,Zhijing Jin
78846919,Marco Tulio Ribeiro
23451726,Scott M. Lundberg
2007064152,Yingqi Liu
2052467415,Guangyu Shen
48927894,Guanhong Tao
2072528961,Shengwei An
2026855,Shiqing Ma
1771551,X. Zhang
145217343,Eric Wallace
2113511266,Shi Feng
1380266797,Nikhil Kandpal
40642935,Matt Gardner
34650964,Sameer Singh
1416319999,C. Carrino
2165226605,Joan Llop
1850527789,Marc Pàmies
2078772072,Asier Gutiérrez-Fandiño
1405319696,Jordi Armengol-Estap'e
2119543279,Joaquín Silveira-Ocampo
2168853963,A. Valencia
1403836100,Aitor Gonzalez-Agirre
2066499928,Marta Villegas
2109404730,Yulong Chen
39798499,Yang Liu
2152290059,Li Dong
2992833,Shuohang Wang
8652308,Chenguang Zhu
48262024,Michael Zeng
2145913600,Yue Zhang
2149798086,Rebecca Qian
51519704,Candace Ross
2166312768,Jude Fernandes
51324296,Eric Michael Smith
2111313627,Douwe Kiela
2110032535,Adina Williams
145874489,Hamed Jelodar
2107962574,Yongli Wang
2181308,Rita Orji
50178505,Shucheng Huang
39819114,Siddharth Nath
2164300110,Abdullah Marie
2090354013,S. Ellershaw
65739018,Edward Korot
5638585,P. Keane
51236664,Hannah Devinney
52604880,Jenny Björklund
2077434671,H. Björklund
38614754,Julian Michael
14487640,Ari Holtzman
119389860,Alicia Parrish
49355602,Aaron Mueller
144906624,Alex Wang
13336152,Angelica Chen
93811144,Divyam Madaan
10666396,Nikita Nangia
46230016,Richard Yuanzhe Pang
80842917,Jason Phang
1799822,Sam Bowman
1557391091,Qinyuan Ye
51583409,Bill Yuchen Lin
145201124,Xiang Ren
2845020,Xiaoya Li
2109329406,Xiaofei Sun
65844131,Yuxian Meng
2115780454,Junjun Liang
144894837,Fei Wu
49298465,Jiwei Li
80621550,Shaily Bhatt
50991767,Sunipa Dev
2406435,Partha P. Talukdar
2160404,Shachi Dave
3331141,Vinodkumar Prabhakaran
9051130,John P. Lalor
2143685866,Yi Yang
2152595932,Kendall Smith
3047212,Nicole Forsgren
144849629,A. Abbasi
1786389,E. Mosca
2178446,F. Szigeti
2187454523,Stella Tragianni
2187454784,Daniel Gallagher
146800020,G. Groh
1904906987,Qing Lyu
2817917,Marianna Apidianaki
1763608,Chris Callison-Burch
152446182,Andreas Madsen
145732771,Siva Reddy
144631588,A. Chandar
145046059,Anna Rogers
40642935,Matt Gardner
