authorId,name,Affiliations,Affiliation_type
2815290,N. Houlsby,Citigroup,company
1911881,A. Giurgiu,McKesson,company
40569328,Stanislaw Jastrzebski,General Electric,company
68973833,Bruna Morrone,Comcast,company
51985388,Quentin de Laroussilhe,Northwestern University,university
2813347,Andrea Gesmundo,"University of California, Berkeley (UCB)",university
2809991,Mona Attariyan,University of Michigan-Ann Arbor,university
1802148,S. Gelly,AT&T,company
145222654,Patrick Lewis,Chevron,company
3439053,Ethan Perez,UPS,company
1716179427,Aleksandara Piktus,Target,company
40052301,F. Petroni,Cornell University,university
2067091563,Vladimir Karpukhin,"University of California, Los Angeles (UCLA)",university
39589154,Naman Goyal,Marathon Petroleum,company
103131985,Heinrich Kuttler,Elevance Health,company
35084211,M. Lewis,Columbia University,university
144105277,Wen-tau Yih,Pfizer,company
2620211,Tim Rocktäschel,The University of Tokyo,university
48662861,Sebastian Riedel,University of Pennsylvania,university
1743722,Douwe Kiela,ExxonMobil,company
2268272,Emma Strubell,Université PSL,university
47079359,Ananya Ganesh,Harvard University,university
143753639,A. McCallum,Phillips 66,company
1705260,Yizhong Wang,The University of Queensland,university
1817207,Swaroop Mishra,The London School of Economics and Political Science (LSE),university
1805993128,Pegah Alipoormolabashi,AT&T,company
2156538832,Yeganeh Kordi,Archer Daniels Midland,company
2162779320,Amirreza Mirzaei,Harvard University,university
1667817604,Anjana Arunkumar,Fudan University,university
2063938464,Arjun Ashok,Home Depot,company
2162779517,Arut Selvan Dhanasekaran,Microsoft,company
2064353087,Atharva Naik,McGill University,university
1689466093,David Stap,The Australian National University,university
2074097046,Eshaan Pathak,Institut Polytechnique de Paris,university
8458211,Giannis Karamanolakis,University of Pennsylvania,university
2162779839,H. Lai,Marathon Petroleum,company
93841942,I. Purohit,Johnson & Johnson,company
9377739,Ishani Mondal,General Motors,company
2110871234,Jacob Anderson,Procter & Gamble,company
2158994272,Kirby Kuznia,Meta Platforms,company
2162779709,Krima Doshi,National University of Singapore (NUS),university
81331041,Maitreya Patel,Chevron,company
50494955,Kuntal Kumar Pal,New York University (NYU),university
40879549,M. Moradshahi,Walgreens Boots Alliance,company
1423660254,Mihir Parmar,Stanford University,university
1576655836,Mirali Purohit,Columbia University,university
2067056655,Neeraj Varshney,Johns Hopkins University,university
2162781785,Phani Rohitha Kaza,Citigroup,company
39765564,Pulkit Verma,MetLife,company
2159207824,Ravsehaj Singh Puri,Johnson & Johnson,company
