paperId,Citations
29ddc1f43f28af7c846515e32cc167bc66886d0c,"5c45a5d05ac564adb67811eeb9d41d6460c70135, 63adc1e5086481e36b19b62707a96b799da51e59, 33fc8fe30dd1a59e6abbe6919ca4fe70d31fdb12, 239bf45c13b3f6d38c74026b535f785febf9cd08, ef25b02f3be31c699255ee05aa90a4a17461d95d, a0a79dad89857a96f8f71b14238e5237cbfc4787, 2e965b5d97c2d6fb4af284307735be39283792ba, 8b417c2be7a7707f372049fb1193f0d42f799562, c9f320789e98d2c7a798a9705e26dbe317677966, bdb68c5e2369633b20e733774ac66eb4600c34d1, 322d91190acd8ac8c64598f5126947b0485ba249, febe776e285dc5e72c7e3ee697a87a794e1c00ff, 0456ed94f6c455f99cb67abe8a28aeb3ef9f489b, 92930ed3560ea6c86d53cf52158bc793b089054d, 013eb12ce5468f79d58bf859653f4929c5a2bd14"
58ed1fbaabe027345f7bb3a6312d41c5aac63e22,"7676c02ea839ff1ceb6e5e1427c42bc45e169bde, ce2d5b5856bb6c9ab5c2390eb8b180c75a162055, c0aec04ee86c0724d61c976f19590fbe9c615723, 9d6aa5247b9919a86f174e918107c234c548274d, f295157f37cfb43cd8d8d2690ea124edc5ea59c2, 4e58100b319d74f97ed550a4e5fa32dea8c06fe1, b3dbe1b460a3b66df1653508c9eed7dd51dee4d2, 63adc1e5086481e36b19b62707a96b799da51e59, 7171a0e9b07ebc98a32eb912262613efc20f283a, 752604994a7ca548ff2954114fc61a501d857b1c, d6e1e4f0ad898ca6ac37e6e139a77fa3982170d4, 4f8d648c52edf74e41b0996128aa536e13cc7e82, e449b9b3fe04fe260731a3c74d2123bf6eaadf5b, 52a6695ae1c08cc29baf764dedb5831c7a954214, 41c93960a066876d5e4f1dacaef75cd8daa2791f, 375125029b085e70a109491656b69aa01bc2a166, 4bd3c9e1bb1ca2df62b66201616b8740300efd0a, f72d3f58ff73353978e224af348448b34d27cf7b"
d6a083dad7114f3a39adc65c09bfbb6cf3fee9ea,"9d6aa5247b9919a86f174e918107c234c548274d, 13c4e5a6122f3fa2663f63e49537091da6532f35, 34ca47eed139a7f0694611528f75debc43385518, b000a4b30f6206f6cfb033a79aad1ba810c972a4, 657fbf29ea0b4904a3e98d1556f9acf38dddae5f, f9253a3e2627f1c2a0a7e2cea320a4ec4e4d2ff9, 0ecf3f089e6dc7944b440227069b9d0143e18d78, fb8e253b8b0358a7b95ddc9ac4c74f93513a9c53, 4954fa180728932959997a4768411ff9136aac81, 1c2efb418f79b5d29913e014a1dfd78865221c39, 2f65c6ac06bfcd992d4dd75f0099a072f5c3cc8c, fd0496ab020acf366375615ab40235e6dd3c5897, be2b0396de9431bae931642516a1d3e4906329f5, db6ad6ded1cfa26fdc7437f27fb823ec533e96fe, 77a096d80eb4dd4ccd103d1660c5a5498f7d026b, 82a09f72d7b9587e3b519b1cd9640a5a611f3480, 099043827df60225cf33c820052716cce64d49e9, f208b3fb28c556ab62f9d202b7beae89700a338a"
06d7cb8c8816360feb33c3367073e0ef66d7d0b0,"90aca7b4cdd728b28b2fb5b4dc3ae3e37daa5b94, ed9e7821b3e51c7e59183300d6c8cf90c8de0f26, a8d76d84408c1fe6b1543084e6cec3dfc4ede429, 017010b941d902a467f6d329ae5e74fd67e67912, 3db1841fd5f2561a11dfbd8173616b3e695c84a1, 43e624ddeed82df944a6cae0dedec3372438e243, 6a85b59bb66e9f70c6e201a265d58a7f3aeb3aeb, 453fdfeefd6498a65be339d7e8722f6f3288907e, d9b5194f3f959eda2e95df6a340254f52ced46f4, 30cc95639cffca4ffa8c0eafbc502636c0c88fa5, 518a7c79968a56d63a691d42f8378be6c776167e, 1bb022b27ddb987352bfc002c8381a6f646d0ebb, ca5931b4c08eb96d40c65e1b9f8e4db46bf0585b, 8f99f5cb3950fcd1628c6a563be4b4fc4966fa66, 91b2b47cabd800ef658b65bfe1f52b7293a740c3, 88e0bee9e7165c1d156dccb965060e52ffc8e1c0, da3f33d858586d24cb265e79eb54f3746e998f57, fa7b8acd47631bada5b66049824bfd335ac6bf8f, 3dd7f7118ee174265889d00d100cfe2a02871be8, 56266342b01a4f2ddc28a1e8401dbbad105736a5, b795c74a0150ec091003ffbaa5bd7d74487c137b, ed935c6b359a7a486c28240d796e84897d095125, 156d8e2aa90b5ccc9be10477ca70deaad0151387, f31c2ddb7bb3f3f6ef4219143901cc0cddca5968"
5471114e37448bea2457b74894b1ecb92bbcfdf6,"ca0e479ba2327f71e842d033b6b48b082962cc6a, dca4d9abbc82e57dfa52f932e893d467a63e0682, 4e58100b319d74f97ed550a4e5fa32dea8c06fe1, d88c1255876b62fb5f5a8b292098ca430710a540, 4b9184937da308914b9e13c43bfd75845eaf910b, fd3259ecd1c94731f5d9bd9c0bf7417f2e147c71, e30d9b8ce108d982169621b88a5e3fb69fec70e1, 9f71d4bd511a4797c4f0c0122350d3381adc8a2e, df7336844a31165db0ae08f1cd0f560c9e3faeea, ae026f29c2d571871f426ff4873d43b4ff90b9ad, be383c607d4d357c763d2329ab71799c6e1393b4, c30c0092bf4eb8a44faec3fc60cdd5006276bcdc, a830083704284c8c5ddaf04f676c6ce23d583942, 5030702fea15d66a73fc997325431f1d7945ad9a, 598231eb906b183f7a2a408ef4536127e11e3de9, 0090023afc66cd2741568599057f4e82b566137c, 8ec5896b4490c6e127d1718ffc36a3439d84cb81, ce54e3b89a2570035b70885e6901ad4c92ae41c9, eccad1576e6c67b2c93a5cb8d384d038fbb161d6, 4a7eea3ec3080ecb277bfe466afce4822a1071d7, 8fd8cb4951ae9634a378383a880fbf16ac5d6926, 0ad4189bdddfa32ecf7b1c9122eba57c8d8bbc7f, e8b7a9be9f2d0578a95319ed5841978e10429967, 447884e7da189102189a156966623335c72199b0, 08764019e9762da527253b37b0ff39c46a4206b7, 4267178106cef2e77284bde309dfaaf9fd46a91b, 3cd65f70c18c703dd9bbae4d9a40a0c7e14e2dc0, 78e80b6f3fa46e26ea4e8542815305c3ba88c5df, ba9b6f805feb62c978d384211f910790643a023e, 60119658af638693f6de23d8466968e60c428ac7, 11342d45911ee8a7c9e3a94117ce774ad7036172, b4c929c703868b7f6bf7778c1e6f1a2baaac3ae0, 933baeec555352784848a93284c9dd0e79477759, d7fddafbbc372da4fa884f67bdc32db71b888806"
13c4e5a6122f3fa2663f63e49537091da6532f35,"950850e22e42201f152d90dc6f53d53e39d37657, 5c39e37022661f81f79e481240ed9b175dec6513, eeac4411ae119c6c7ac33a11f762f2495b4dd960, 453fdfeefd6498a65be339d7e8722f6f3288907e, 72a6a5d5864eb915231c7128b90977f1d2acf6e9, 00d1f3423a33f73ca6aee884a58834547475d2f0, bf69c98fca9a9f6c1cde871beddbcdc668b77771, 18fff2d1ef494f2726b93d2f8a119b874f2e3d1d, cf41991d89301c3c12420d150792cb1163999962, 2097ff87df3cb9427c7388bc7b997ed56907d45b, 391a5f286f814d852dddcab1b2b68e5c1af6c79e, 7637ed79d30d0139901175ae4abedd822c217ab4, 643da4c4de1954daeac571a82367241db012a8bf, 538fbdb8013ab43a9b5d725461b294ad29fcced7, f7b69b8babfa607f2e8b0371f24cb720a7a827d6, 742747c7a453b293352b772d0d99541c96a351c3, fa26a6d434450b185e669170e79fd3e1d29716bf, cb3968152f7d93f53d24b00279a90d5071ddc85a, fb0aeed456bff8607fab2bf443e9d86d51c3dff6, 92afbbe41174a545f9da9992e33c9a9592e529aa, 819f2778eba0d4c9eea86307bedaaeed94dc751d, 364128bcce9836d60e685bb717b80f30e25092e0, b145f72d9abc4b2c48a46fd1bdc4476a4b5fa4f8, b651d67502790e1d6d41c589e1d93e996ba7b935, 2478f43de2f1fcd9301a81e9b42d86b1d46db02d, e4788ee4f5e90c6f42cedc5116acd2d6475c3180, 73cbaf5f2441ef3478266b5438c0e90d1ae71652, 09797949fc70fbad8f3fed4f6cf4a91a9c709652, 2019cf49b51021a376f9833a53565513f0d8107b, 41c93960a066876d5e4f1dacaef75cd8daa2791f, 213a83e61e1347ffa58da9383a4bf92f4a77a6c8, d916776e0c6a04b0def4c22257c188776c2edab2, 9a60d3c9d3a5b7f165325fca45bd418d651682d3, 6ba00c2386f2edc0b43eec442cd1923b5d964633, b473e91cbe80c8b46451b49153cd5f93030480ab, 4e58100b319d74f97ed550a4e5fa32dea8c06fe1"
33ec7eb2168e37e3007d1059aa96b9a63254b4da,"0fe0f08e71e188cb2a663f36acb296d9eb6fe694, 971c35bcab25fbf4fd4bb6e128cf2586f0ab1d67, b2114228411d367cfa6ca091008291f250a2c490, d47a682723f710395454687319bb55635e653105, b00d4452cd9869526169b7a2fe893c0a7c31eb4c, 12c9bcf710d30ba991fb765ace07f177f53ecfd9, 01bf0e83159712fbbbd12171a7e268547a4cfbc5, b58e98029d53d69ccc7089dca7b01bf050b5ad2b, 6d2d6707a0674ee41d539d106e6cb359a0a6ca06, 0e6e8274d0dcbc1c3c1ccdbd87f3e5d53fdf62b4, 9db0247728950788a2b42097d81dc0e24eed6bb2, 819167ace2f0caae7745d2f25a803979be5fbfae, ccca203382e5dd198c089a0f1d7af7bef0f694e9, b000a4b30f6206f6cfb033a79aad1ba810c972a4, 417326e51d78ba8bd2621f23e539b41bbdd336d6, e32a2519b59d62cff6cb8136ee242dc3754ed57b, 16f01c1b3ddd0b2abd5ddfe4fdb3f74767607277, a9c1566119695250f68a572a4260b03721cc8ba3, 1e4709c0b8fe3bf759cd64dc1ede695d6e5316f0, 68ade27b68c05d1b60b8a9d8f8aadbe76900c60c, 2019cf49b51021a376f9833a53565513f0d8107b, 518a7c79968a56d63a691d42f8378be6c776167e, 0599f45e03ac2016321df0dd653ba4c0034c79d5, 8713452753fd01de5616121af93e173d4f74eaf6, 34f9c825ba24889fa5e164ba9f99bfe4fc2f3e61, 4cd033a56b19f87f6adfefeef5fcc990306ecf40, 9675f7484a4d3d278a5a637f75a1b81d7d008c4e, 0fdfcd2308a1fdece7e26b6ee10ee1ca2fa51ee6, 8ca3be8e47289aef296d3e5804dc22b37dc1f635, eacf9284a39adcd56172665f31fd5a72560bba7a, bcc9245ebf57072c07c5a9d4eff3aaaac36cb7c6, 647d0e540627c5a903299a90d20530f8e48c18d9, 00bbc94806ca0821a9c82d8aedf16f0e6263b89f, 77e6c9917536949a82e5ca02c4882b69ee8a4fd6, 6dc4883228c95e8a332320fcc587a0ff33c84d59, b6593b5ad6b0e00232ee88cf2bc578645c1299a0, f3d594544126e202dbd81c186ca3ce448af5255c, b067177b1e17287185eb3b82ccc3d7c646b3ec40"
f4c4e148546089123f8da5db4fb246ab4062bd40,"d6a083dad7114f3a39adc65c09bfbb6cf3fee9ea, 4d8f0ae904779a50b2e18fec49e51a5661a98d8a, 4b991efaa8493a5925c2aee9eec980831213eba6, bf69c98fca9a9f6c1cde871beddbcdc668b77771, 82d2b9d09cc339fdeac05abfb8a31f9c6eace948, 48265726215736f7dd7ceccacac488422032397c, cb3968152f7d93f53d24b00279a90d5071ddc85a, 4b06c7e29280b1c6bc05c9df39023b48fef02c93, f75b70c9d7078724b592ec3e21de705e7b6ff73f, 3fea7ba9490c306484a8fdfe94323ff4e009e1c7, 5471114e37448bea2457b74894b1ecb92bbcfdf6, b4af1cbb4d3a03d3ad7930b906fc7bf6870180cc, 0f4d00d01d43d3967ee92b58481b5ad530a944d1, e3b94a5f28522e6825aff16ff07d56bd70d26c96, 2737a61f6557fe7bf53a608c668de2eff1f582f0, 993df7df129f8d18816877d69923d7df7b347d85, 80d9f0eb47b712988d19cbe29a7bfa63f2a175d0, 7536bce1007a765fd097a7cc8ea62208a8c89b85, 9712624bb61abb0da989514cae558cfab61bb9d2, 8799ec4bdf98bc313aa8c41a706a385e026d1f88, 0026ea8a0fd31bdc959a4b9ed4d449f3015be8d1"
63d8426ba1f51a8525dd19fd8ec92934ec71aea5,"8dd0c1e955c66092ff951941a151336211e6e171, 834fdec542153aae5fe725df801aac87ba5e8f56, 94de6bab96ad533169dbc3bf9e6557581e59cb6f, 2f44ab0e52eb98fdfc0086638887f175b6f2fe4b, e7b0e2710821a9fe1e3d2b9a09dd94514b2d5ea5, b2ee139c1a3c2c53ac2b603070bdfbcd26b50ddc, 54a26f5ef4b0524c60249fe98d0fc3646b2791ad, 57e6cca1479a4642f867e69b4dee93d14259dc3d, 9d6aa5247b9919a86f174e918107c234c548274d, b135e330cc1473c8c24fa63bb9a5b64f51993f9e, 3ca3ff98405b43fab32dcd7cbd6bd34261386e35, 6a1b25f7a67395ad1e676027322913acbb0a0635, 8d0f755dea90f35f4b126a01fa3cce96b3bdd344, b2e791a569f5f1e64354ee6e7a3b9e291b8d9651, 10d89b13a6309a531c35701d37d3bd76a27a3942, 6c755fc901d0b41a5d73c265f64a5aacf62e83b8, a8b995f0da78a79447dfb18c2337972b044f4239, 7872f34e2a164c5cf3c34a7a7433dc3342b6c7ea, 4e58100b319d74f97ed550a4e5fa32dea8c06fe1, 2e7f532796eed2847d4c19e3cff03756049e81b4, 119a9e5b563cf1134897553ee49325b5a5bd9fb9, 78b2d392ebb100a220ceab6529d26909b27eaa32, 4895c430c7810b45840b58cc9182f12143013a43, b6b7fea1846e85ac1e3c7e3adda6e65b127d0368, 3a9f7c5bdd7f9560bf150332e97d6b1facdfce9b, 2ed691a353fa48403d493ab658f5f267a42f0bf1, b7034546bee38ba13d3b312fce893a22e33ce4dd, 2478f43de2f1fcd9301a81e9b42d86b1d46db02d, c84aa52bee5116f80c7740503edff4b08f733c3b, b6becea767675ea6ee43c78ce747077a5050019c, fd3259ecd1c94731f5d9bd9c0bf7417f2e147c71, a0a79dad89857a96f8f71b14238e5237cbfc4787, 10cf0045bc0f58aa3699e4451f65b12a08019c5c, 0f4d00d01d43d3967ee92b58481b5ad530a944d1, 64306bbddb4da7a4e06f990a0167d55fbbbbec82, e2f3aa4ecc487fa496d1a51e875e747d4b7e6001, 736ef8a32d6c5f76a21d61299300cf796480d507, 3813b88a4ec3c63919df47e9694b577f4691f7e5, 99f06e88e76f1af51d08d7adfb26d758ebc6acab"
97906df07855b029b7aae7c2a1c6c5e8df1d531c,"ca0e479ba2327f71e842d033b6b48b082962cc6a, a29b7a000e6e1a2907ce6ae24a03aba5d9ef873f, 241d6ca92c4bc65ac3ee903e4732f70bff5c5e9f, f9c602cc436a9ea2f9e7db48c77d924e09ce3c32, d3855b7351c11145e51301e6b686f748ca35c802, a620ea8654f86b282e0d2c1fbc6616b90ca45bd1, cb3968152f7d93f53d24b00279a90d5071ddc85a, 7bc9607c5cf3fc817675d46844f529097d579514, 98b9086750f08a21c8778ab986339321e9caf790, 742747c7a453b293352b772d0d99541c96a351c3, 9d6acac70b2d1fdb861a08b00766ef263109cd7f, 244e08e109f6f4fa0f846977e1aef1e7b6a9e816, 3994334c81478a4b17341eb1f494dbccbb73d999, f3d594544126e202dbd81c186ca3ce448af5255c, b904dcdbd7c7b33938583f2f57d05ca70e121ea9, 3813b88a4ec3c63919df47e9694b577f4691f7e5, 2f44ab0e52eb98fdfc0086638887f175b6f2fe4b, 20d92dc48ab6a52c087ae37eb394acb8f65f28eb, e449b9b3fe04fe260731a3c74d2123bf6eaadf5b, 5f51d468ce730eeade7e9f419a1fe7152582be25, ca5931b4c08eb96d40c65e1b9f8e4db46bf0585b, 332e0eab5fba8e6940f3e481f542a99ac17b9717, eed62d36d1b976ac3873c83645f1c25f5096f89c, c84389369720dcd2f004c48e58fbac2c45c8f092, 6001895c2fcf69528d01306e9d293d9d2a4cc67b, b9b639522465cc606df878eee62e7f9c4bf19e62, 2396dbcfe1f7f9dafc6696c3c06b16fd3029f7a0, 551bbf493f55ea2c7b64ef8b91fc81d7bf6d68fe, 54ddb00fa691728944fd8becea90a373d21597cf, 0d6ef817813d04a3b3ec6c3ce008e104fb3e587a, 6be56f559a74c0124526242e70cbdfd16cbc60a7, 6dcb1cd576b0e54b900f45a178efe271c383de04, be082d70534db088315f2cc5b42c2fdcd58c1b8c, 709af143f78bc62413c50ea1a7ee75b0702c4f59, 0601e9e434b30320c316c76228b97c093fa98ad6, 795550a5294eb05ea4f3b14f0b1c21a405493d85, 3e53b6d0d30be2a802c6b7b34b75f6e67ab8204f, 147c868b721c8d29df7c61db7f2360114c760614, dad8965c5a4c0a0ea1eb3837c6a9c3b42597c2ce"
