paperId,title,url,publicationTypes,abstract,year,citationCount,journal_volume,authorIds,corresponding_author,venue,number_reviewers,reviewers,approved,comments,journal_name,keywords,Citations
58ed1fbaabe027345f7bb3a6312d41c5aac63e22,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,https://www.semanticscholar.org/paper/58ed1fbaabe027345f7bb3a6312d41c5aac63e22,JournalArticle,"Large pre-trained language models have been shown to store factual knowledge in their parameters, and achieve state-of-the-art results when fine-tuned on downstream NLP tasks. However, their ability to access and precisely manipulate knowledge is still limited, and hence on knowledge-intensive tasks, their performance lags behind task-specific architectures. Additionally, providing provenance for their decisions and updating their world knowledge remain open research problems. Pre-trained models with a differentiable access mechanism to explicit non-parametric memory can overcome this issue, but have so far been only investigated for extractive downstream tasks. We explore a general-purpose fine-tuning recipe for retrieval-augmented generation (RAG) -- models which combine pre-trained parametric and non-parametric memory for language generation. We introduce RAG models where the parametric memory is a pre-trained seq2seq model and the non-parametric memory is a dense vector index of Wikipedia, accessed with a pre-trained neural retriever. We compare two RAG formulations, one which conditions on the same retrieved passages across the whole generated sequence, the other can use different passages per token. We fine-tune and evaluate our models on a wide range of knowledge-intensive NLP tasks and set the state-of-the-art on three open domain QA tasks, outperforming parametric seq2seq models and task-specific retrieve-and-extract architectures. For language generation tasks, we find that RAG models generate more specific, diverse and factual language than a state-of-the-art parametric-only seq2seq baseline.",2020,1686,abs/2005.11401,"145222654, 3439053, 1716179427, 40052301, 2067091563, 39589154, 103131985, 35084211, 144105277, 2620211, 48662861, 1743722",145222654,Moscow,3,"2151900144, 46307329, 2542999",Y,"2. The experimental results are fairly weak compared to the other methods that also uses many layers.;3. This paper lack original technical contribution from themselves.;The paper briefly mentions supervising attention models using such boxes, but it isn’t clear how bounding boxes for data points could be used.",Neural Information Processing Systems,"models,tasks,language,nlp,NLP","7676c02ea839ff1ceb6e5e1427c42bc45e169bde, ce2d5b5856bb6c9ab5c2390eb8b180c75a162055, c0aec04ee86c0724d61c976f19590fbe9c615723, 9d6aa5247b9919a86f174e918107c234c548274d, f295157f37cfb43cd8d8d2690ea124edc5ea59c2, 4e58100b319d74f97ed550a4e5fa32dea8c06fe1, b3dbe1b460a3b66df1653508c9eed7dd51dee4d2, 63adc1e5086481e36b19b62707a96b799da51e59, 7171a0e9b07ebc98a32eb912262613efc20f283a, 752604994a7ca548ff2954114fc61a501d857b1c, d6e1e4f0ad898ca6ac37e6e139a77fa3982170d4, 4f8d648c52edf74e41b0996128aa536e13cc7e82, e449b9b3fe04fe260731a3c74d2123bf6eaadf5b, 52a6695ae1c08cc29baf764dedb5831c7a954214, 41c93960a066876d5e4f1dacaef75cd8daa2791f, 375125029b085e70a109491656b69aa01bc2a166, 4bd3c9e1bb1ca2df62b66201616b8740300efd0a, f72d3f58ff73353978e224af348448b34d27cf7b"
f4c4e148546089123f8da5db4fb246ab4062bd40,Evaluation of ChatGPT for NLP-based Mental Health Applications,https://www.semanticscholar.org/paper/f4c4e148546089123f8da5db4fb246ab4062bd40,JournalArticle,"Large language models (LLM) have been successful in several natural language understanding tasks and could be relevant for natural language processing (NLP)-based mental health application research. In this work, we report the performance of LLM-based ChatGPT (with gpt-3.5-turbo backend) in three text-based mental health classification tasks: stress detection (2-class classification), depression detection (2-class classification), and suicidality detection (5-class classification). We obtained annotated social media posts for the three classification tasks from public datasets. Then ChatGPT API classified the social media posts with an input prompt for classification. We obtained F1 scores of 0.73, 0.86, and 0.37 for stress detection, depression detection, and suicidality detection, respectively. A baseline model that always predicted the dominant class resulted in F1 scores of 0.35, 0.60, and 0.19. The zero-shot classification accuracy obtained with ChatGPT indicates a potential use of language models for mental health classification tasks.",2023,35,abs/2303.15727,2120664,2120664,Reykjavik,3,"46429989, 1891554, 144248374",Y,"Without experiments over other datasets and wall clock time results, it is hard to appreciate the significance of this improvement.;I don't find the reconstructions demonstrated particularly compelling (they are generally pretty different from the original input).;It's possible some of the issues arise from the particular architectures they choose to investigate and demonstrate on (eg I have mostly seen ResNets in the context of CNNs but they analyze on FC topologies, the form of the loss, etc) but that's a guess and there are some further analysis in the supp material for these networks which I haven't looked at in detail.",arXiv.org,"classification,detection,language,nlp,NLP","d6a083dad7114f3a39adc65c09bfbb6cf3fee9ea, 4d8f0ae904779a50b2e18fec49e51a5661a98d8a, 4b991efaa8493a5925c2aee9eec980831213eba6, bf69c98fca9a9f6c1cde871beddbcdc668b77771, 82d2b9d09cc339fdeac05abfb8a31f9c6eace948, 48265726215736f7dd7ceccacac488422032397c, cb3968152f7d93f53d24b00279a90d5071ddc85a, 4b06c7e29280b1c6bc05c9df39023b48fef02c93, f75b70c9d7078724b592ec3e21de705e7b6ff73f, 3fea7ba9490c306484a8fdfe94323ff4e009e1c7, 5471114e37448bea2457b74894b1ecb92bbcfdf6, b4af1cbb4d3a03d3ad7930b906fc7bf6870180cc, 0f4d00d01d43d3967ee92b58481b5ad530a944d1, e3b94a5f28522e6825aff16ff07d56bd70d26c96, 2737a61f6557fe7bf53a608c668de2eff1f582f0, 993df7df129f8d18816877d69923d7df7b347d85, 80d9f0eb47b712988d19cbe29a7bfa63f2a175d0, 7536bce1007a765fd097a7cc8ea62208a8c89b85, 9712624bb61abb0da989514cae558cfab61bb9d2, 8799ec4bdf98bc313aa8c41a706a385e026d1f88, 0026ea8a0fd31bdc959a4b9ed4d449f3015be8d1"
03532123ccffae8d411264320e8a5ae2b6eddea0,Demonstrate-Search-Predict: Composing retrieval and language models for knowledge-intensive NLP,https://www.semanticscholar.org/paper/03532123ccffae8d411264320e8a5ae2b6eddea0,JournalArticle,"Retrieval-augmented in-context learning has emerged as a powerful approach for addressing knowledge-intensive tasks using frozen language models (LM) and retrieval models (RM). Existing work has combined these in simple""retrieve-then-read""pipelines in which the RM retrieves passages that are inserted into the LM prompt. To begin to fully realize the potential of frozen LMs and RMs, we propose Demonstrate-Search-Predict (DSP), a framework that relies on passing natural language texts in sophisticated pipelines between an LM and an RM. DSP can express high-level programs that bootstrap pipeline-aware demonstrations, search for relevant passages, and generate grounded predictions, systematically breaking down problems into small transformations that the LM and RM can handle more reliably. We have written novel DSP programs for answering questions in open-domain, multi-hop, and conversational settings, establishing in early evaluations new state-of-the-art in-context learning results and delivering 37-120%, 8-39%, and 80-290% relative gains against the vanilla LM (GPT-3.5), a standard retrieve-then-read pipeline, and a contemporaneous self-ask pipeline, respectively. We release DSP at https://github.com/stanfordnlp/dsp",2022,124,abs/2212.14024,"144112155, 50818255, 32551341, 145385471, 145419642, 144922861, 143834867",144112155,Vilnius,2,"2931093, 3055912",Y,"Some reasons below: * There are no specific results on properties of the divergences, or axioms that justify them.;Revision of the review in light of the author response: The authors have adequately addressed my main remarks, and while doing so have improved both the positioning of the paper amongst relevant literature and the somewhat limited empirical comparisons.",arXiv.org,"dsp,rm,incontext,nlp,NLP","5f51d468ce730eeade7e9f419a1fe7152582be25, 25761ba4bdc054bfe902fe7c5d6338be6d00d491, eeac4411ae119c6c7ac33a11f762f2495b4dd960, bf07f2927dca481653b8c60b2dc982fe4a7dfd4e, 818de553ecd306735971aba04bbfc29d17457084, e70ddfb04969b663ef8cd711a70a0acf563d6e5f, a781cea542e99c6bb9422858e7c04eaef18c7673, 1fcddebb7b51175ac412009ec1c26cc29fb925cf, 9d6cbac04c498b424dfaa5ce82ac201a180c1502, 7f5cd5b1340ac06ea38bd05373c30136a6f4c1ca, 54814b0669f20f07ec8d8c7e4fabddfadfe66b1a, 64c4c6cb66457c79f89ba4f2529b57bfce19ced4, 178571a5cde984c895493e2eb6c5487449d055cf, 9810bcaf5ac1792e6a2738a86f85ce270d448040, 5f7f10f913ecc478ff7ba304c265fd3c700b47d7, 7872f34e2a164c5cf3c34a7a7433dc3342b6c7ea, b0c34618ffd1154f35863e2ce7250ac6b6f2c424, 417326e51d78ba8bd2621f23e539b41bbdd336d6, b889b1d6944213bc2ca29e3ad07ee65ede20892d, 7c24234042988e2f820a4350f43422ed2ad6fc52, 68897d00c4307d21ceaf1a5eb2a21340f2e94c66, 285d13bf3cbe6a8a0f164f584d84f8b74067271f, 4b991efaa8493a5925c2aee9eec980831213eba6"
ce9ca56036307217ea565644d3d3bd74b879e045,Self-Diagnosis and Self-Debiasing: A Proposal for Reducing Corpus-Based Bias in NLP,https://www.semanticscholar.org/paper/ce9ca56036307217ea565644d3d3bd74b879e045,JournalArticle,"Abstract ⚠ This paper contains prompts and model outputs that are offensive in nature. When trained on large, unfiltered crawls from the Internet, language models pick up and reproduce all kinds of undesirable biases that can be found in the data: They often generate racist, sexist, violent, or otherwise toxic language. As large models require millions of training examples to achieve good performance, it is difficult to completely prevent them from being exposed to such content. In this paper, we first demonstrate a surprising finding: Pretrained language models recognize, to a considerable degree, their undesirable biases and the toxicity of the content they produce. We refer to this capability as self-diagnosis. Based on this finding, we then propose a decoding algorithm that, given only a textual description of the undesired behavior, reduces the probability of a language model producing problematic text. We refer to this approach as self-debiasing. Self-debiasing does not rely on manually curated word lists, nor does it require any training data or changes to the model’s parameters. While we by no means eliminate the issue of language models generating biased text, we believe our approach to be an important step in this direction.1",2021,244,9,"32246932, 40941940, 144418438",32246932,San Marino,2,"2220637583, 2150277971",Y,"* A thorough discussion on mixing in feature space, as well as a baseline which mizes in feature space.;A tensor compiler (as opposed to a DSL inside a general purpose language) The success of Deep Learning is, in no small part, due the development of libraries and frameworks which have made building novel models much easier, faster and less error prone and also make taking advantage of modern hardware (such as GPUs) more accessible.",Transactions of the Association for Computational Linguistics,"language,models,model,nlp,NLP","7bb477077968d68aa7a6059d8d6d801fb28274da, 3be6a57d6db95bba2962a1f3476414a0a9b230b5, 62fe1c3a866a5e368e110d6d8ed2385c84072cac, 5778e56400f7113c2b1355fdbd6b638fa379885f, f381c53aeb7742e4047d06d84f9e0c4f523231a3, 5dfde01d761d97c3a6c609007531973eb1229d09, 087dd95e13efd47aef2a6582e6801b39fc0f83d8, e30d9b8ce108d982169621b88a5e3fb69fec70e1, 48b71e096febdf1e3e07bea80c78dfcb421fff2c, cd5b4b113d5fa90b5dc5aa372111b89d18df88fb, 9db0247728950788a2b42097d81dc0e24eed6bb2, ef35da3a3c471a6a15c7a3b09586483eb50cbef0, 549e933821fdf7cd0309dacaae99c8284cbfcc24, cf41991d89301c3c12420d150792cb1163999962, 7340f090f8a0df5b109682e9f6d57e4b8ca1a2f7"
a0f788f6de0fb83d623c875a98120e3f347f70d1,Biomedical and clinical English model packages for the Stanza Python NLP library,https://www.semanticscholar.org/paper/a0f788f6de0fb83d623c875a98120e3f347f70d1,JournalArticle,"Abstract Objective The study sought to develop and evaluate neural natural language processing (NLP) packages for the syntactic analysis and named entity recognition of biomedical and clinical English text. Materials and Methods We implement and train biomedical and clinical English NLP pipelines by extending the widely used Stanza library originally designed for general NLP tasks. Our models are trained with a mix of public datasets such as the CRAFT treebank as well as with a private corpus of radiology reports annotated with 5 radiology-domain entities. The resulting pipelines are fully based on neural networks, and are able to perform tokenization, part-of-speech tagging, lemmatization, dependency parsing, and named entity recognition for both biomedical and clinical text. We compare our systems against popular open-source NLP libraries such as CoreNLP and scispaCy, state-of-the-art models such as the BioBERT models, and winning systems from the BioNLP CRAFT shared task. Results For syntactic analysis, our systems achieve much better performance compared with the released scispaCy models and CoreNLP models retrained on the same treebanks, and are on par with the winning system from the CRAFT shared task. For NER, our systems substantially outperform scispaCy, and are better or on par with the state-of-the-art performance from BioBERT, while being much more computationally efficient. Conclusions We introduce biomedical and clinical NLP packages built for the Stanza library. These packages offer performance that is similar to the state of the art, and are also optimized for ease of use. To facilitate research, we make all our models publicly available. We also provide an online demonstration (http://stanza.run/bio).",2021,101,28,"49889487, 49889860, 50531624, 144783904, 2356307",49889487,Prague,3,"1422035486, 2228185935, 9035741",Y,"However, that is moved completely to the Appendix.;Moreover, results on Table 2 are reported as the ones with “the highest test accuracy achieved with each tandem block”.;3) Can you write the exact dynamics used for Theorem 4.1 ?",J. Am. Medical Informatics Assoc.,"nlp,models,systems,packages,NLP","77a59de2e2b832321875cadcf9619dc313f02384, df7336844a31165db0ae08f1cd0f560c9e3faeea, 96023195e889fc258e6ff30aa99d250982dfae01, 647d0e540627c5a903299a90d20530f8e48c18d9, 2e965b5d97c2d6fb4af284307735be39283792ba, a2243db6cb2ffdf48ce54397fed47de992d2c8e6, f12930cd5f58990badc1a7c5d2749cad004cfb0e, 9d6aa5247b9919a86f174e918107c234c548274d, 3ec02e36cc0ba16292b255e9f90c3725521e2ec9, ce2d5b5856bb6c9ab5c2390eb8b180c75a162055, b651d67502790e1d6d41c589e1d93e996ba7b935, f69d06037134ab6fb65d90f5ac192cf9f55e498d, 3c68025d95970a9b9aa1b742a678704cd09d2bf4, 3faeb21fe256b99391d69570053a8c2d91e9f348, 91d24a94a276f5b226b07fe294561482b1d4104d"
9a0424bdd12cdcdf45b556b0b9dcc6fc5a55520b,FORCES NLP: an efficient implementation of interior-point methods for multistage nonlinear nonconvex programs,https://www.semanticscholar.org/paper/9a0424bdd12cdcdf45b556b0b9dcc6fc5a55520b,JournalArticle,"ABSTRACT Real-time implementation of optimisation-based control and trajectory planning can be very challenging for nonlinear systems. As a result, if an implementation based on a fixed linearisation is not suitable, the nonlinear problems are typically locally approximated online, in order to leverage the speed and robustness of embedded solvers for convex quadratic programs (QP) developed during the last decade. The purpose of this paper is to demonstrate that, using simple standard building blocks from nonlinear programming, combined with a structure-exploiting linear system solver, it is possible to achieve computation times in the range typical of solvers for QPs, while retaining nonlinearities and solving the nonlinear programs (NLP) to local optimality. The implemented algorithm is an interior-point method with approximate Hessians and adaptive barrier rules, and is provided as an extension to the C code generator FORCES. Three detailed examples are provided that illustrate a significant improvement in control performance when solving NLPs, with computation times that are comparable with those achieved by fast approximate schemes and up to an order of magnitude faster than the state-of-the-art interior-point solver IPOPT.",2020,164,93,"35437368, 2057413, 30521589, 144746954",35437368,Chisinau,3,"2155558174, 2047926221, 2171106811",Y,"Classifier is trained to not only maximize classification accuracy on the real training data but also to output a uniform distribution for the generated samples.;The proposed method is simple yet powerful.;Unclear statements/notations: * end of page 3, notations are not entirely consist with previous notations * I do not understand which distribution is assumed on epsilon and gamma when taking the expectancy in equation (9).",International Journal of Control,"implementation,control,order,nlp,NLP","89a30b5dab02c9c390a632acad481fa602859272, 41c93960a066876d5e4f1dacaef75cd8daa2791f, 94214d6d922ce095719d488642cbcc75dc52f273, 785a1c77fabd1ad870a9dbc98d235d2fcbdbaa6f, da5d78b3e3a1544fde98fba86088e1215e97cbe8, 70ca38ad480c0be0eca89ccc4972d6cc9a5824da, 0ac0025529c1f9056036be43c561ba67fb8d12a5, 1562390dd212516cd857009cbd4f857a902d1f3d, d4ae73ac17c6bc8a537df2cebf50c9b4a6b420d5, 76b93abde3ec4e5bd84a38d488a8db209dc4ac98, 147c868b721c8d29df7c61db7f2360114c760614, 64306bbddb4da7a4e06f990a0167d55fbbbbec82, 794b3ffd28d28606230efc975eeec9f0522fb139, 7171a0e9b07ebc98a32eb912262613efc20f283a, 0c4070272fb7d6b98971a107b022ff8abf0aa55e, 215fc60307f741b9db059204e41db8bfb879e606, 97ac11e5a6440eccb70ae7146392ac138c36fa6c, fafa541419b3756968fe5b3156c6f0257cb29c23, 7fa273f450251523e6b7fcc2eb3fdbdfd4a30493, 8ab93bee04cd5bdbd96002b2e325d02f61ba695a, f62ab3fcc45eb787f4eb3213a3ffcae97799e9e5, 94de6bab96ad533169dbc3bf9e6557581e59cb6f, b52db9e41e15f76bdcfbe674abe0314af545c430, 8894d431a768a35dc7ca4d762ebdba4f407b978c, 8d06f13ec042f0d8d845af5deadeb3dd9ad11f70, 5d433da6d0f143f20936379910104d2bb139d4ae, 5bc511aa30f72720260d792e57537379fb04c395, b0b770fb8c7760749c88e3c83ae173cdb07f7bd5, 99f06e88e76f1af51d08d7adfb26d758ebc6acab, 8e259f940f007e08207ddb7c3a052f52036d7bf6"
10aa2be24951e6de76b630482a645d79354c4cde,Quantifying Social Biases in NLP: A Generalization and Empirical Comparison of Extrinsic Fairness Metrics,https://www.semanticscholar.org/paper/10aa2be24951e6de76b630482a645d79354c4cde,JournalArticle,"Abstract Measuring bias is key for better understanding and addressing unfairness in NLP/ML models. This is often done via fairness metrics, which quantify the differences in a model’s behaviour across a range of demographic groups. In this work, we shed more light on the differences and similarities between the fairness metrics used in NLP. First, we unify a broad range of existing metrics under three generalized fairness metrics, revealing the connections between them. Next, we carry out an extensive empirical comparison of existing metrics and demonstrate that the observed differences in bias measurement can be systematically explained via differences in parameter choices for our generalized metrics.",2021,68,9,"147783277, 2065005, 39888194",147783277,Ljubljana,2,"51131083, 2966239",Y,"That requires the method to be used together with network pruning methods, which seems limiting its applicability.;Figure 2 is very interesting: it is a very relevant way to compare authors model with the literature.",Transactions of the Association for Computational Linguistics,"metrics,differences,fairness,nlp,NLP","0a71dd8bec060195e14eb9d0a7abbc08d960d4d5, 1cf2e9e198feef3893da2800a7949f6880ddc084, 20d92dc48ab6a52c087ae37eb394acb8f65f28eb, 4b06c7e29280b1c6bc05c9df39023b48fef02c93, 71ba8a8c75e0826f94eb53ee7a4566d4fc5b5256, 5bedddda2aab2c5a03017d96a6dd7acf517c6961, 40416ac3bf78583eea37661b1b446e9939245b3e, 72243bfa618fd6c3c01bb7b4885a4a456b2a6071, 28cc044d5ba938472bc53d87240583982ad21663, 529ff7d6441d244212cf2becafd12a7e67ac56d9, f4c4e148546089123f8da5db4fb246ab4062bd40, 7e9905710a5991a017ffc0473dd612cfce4b7b2e, 6c739540e66e895311b7347971f10ef556e06e52, dd4d82299b4209db539d639f836fcee663cf72b3, 8e6d0ed32aaa5e3d7c598d5a2ace76eab8485801, f11cba099b8cf14815f7b3d85f55ecfddbf9f04d, 29409efa04ac99ccf01d2a011d21d5d14e870000, e30d9b8ce108d982169621b88a5e3fb69fec70e1, 8ab93bee04cd5bdbd96002b2e325d02f61ba695a, 7998468d99ab07bb982294d1c9b53a3bf3934fa6"
c30c0092bf4eb8a44faec3fc60cdd5006276bcdc,Interpreting Graph Neural Networks for NLP With Differentiable Edge Masking,https://www.semanticscholar.org/paper/c30c0092bf4eb8a44faec3fc60cdd5006276bcdc,JournalArticle,"Graph neural networks (GNNs) have become a popular approach to integrating structural inductive biases into NLP models. However, there has been little work on interpreting them, and specifically on understanding which parts of the graphs (e.g. syntactic trees or co-reference structures) contribute to a prediction. In this work, we introduce a post-hoc method for interpreting the predictions of GNNs which identifies unnecessary edges. Given a trained GNN model, we learn a simple classifier that, for every edge in every layer, predicts if that edge can be dropped. We demonstrate that such a classifier can be trained in a fully differentiable fashion, employing stochastic gates and encouraging sparsity through the expected $L_0$ norm. We use our technique as an attribution method to analyze GNN models for two tasks -- question answering and semantic role labeling -- providing insights into the information flow in these models. We show that we can drop a large proportion of edges without deteriorating the performance of the model, while we can analyse the remaining edges for interpreting model predictions.",2020,154,abs/2010.00577,"8804828, 41019080, 144889265",8804828,Andorra,3,"1738190, 2062848, 2513276",Y,"* Qualitative results on sampling from the model using the CIFAR dataset.;1. Comparing to previous work (Mordatch & Abbeel, 2018), the task is relatively simple, only requiring the agent to perform binary prediction.;This insight is simple, elegant and valuable in my opinion.",International Conference on Learning Representations,"model,gnns,nlp,models,NLP","2936cbd6a90d7153a9fa34e8e4fd947907fe7f6c, dadfb3ff45e19dc22456a645f441bbeb17c93c9c, a2e667e4382aaa8e02a17d0522c1a910790ab65b, 1562390dd212516cd857009cbd4f857a902d1f3d, 736ef8a32d6c5f76a21d61299300cf796480d507, 87f17f939b79bb3e1d2746993a2c1cda48cb1b32, d9d325ca670a1aa215e3e39023f8abf17dae7584, 1b3675fc0f2b16743b1e1f0c2f84829cfdb3d34f, 4cd033a56b19f87f6adfefeef5fcc990306ecf40, 06d7cb8c8816360feb33c3367073e0ef66d7d0b0, 3774fb4b6aa11d88c562ee5702c66cae5881af0d, b5904cd5dbf73b8d5ff13517de490c292d877ee0, 10ea29fda06bdbe56f591909d89f3194b452ac91, beb890d47bbc21a96967f9993c9d6e15686b2eac, 02b1607af35b48f0bd716367caf6a7428b969369"
6ea4bd1d842d7ab689b7ceb22927e48b9e5ad786,BadPre: Task-agnostic Backdoor Attacks to Pre-trained NLP Foundation Models,https://www.semanticscholar.org/paper/6ea4bd1d842d7ab689b7ceb22927e48b9e5ad786,JournalArticle,"Pre-trained Natural Language Processing (NLP) models can be easily adapted to a variety of downstream language tasks. This significantly accelerates the development of language models. However, NLP models have been shown to be vulnerable to backdoor attacks, where a pre-defined trigger word in the input text causes model misprediction. Previous NLP backdoor attacks mainly focus on some specific tasks. This makes those attacks less general and applicable to other kinds of NLP models and tasks. In this work, we propose \Name, the first task-agnostic backdoor attack against the pre-trained NLP models. The key feature of our attack is that the adversary does not need prior information about the downstream tasks when implanting the backdoor to the pre-trained model. When this malicious model is released, any downstream models transferred from it will also inherit the backdoor, even after the extensive transfer learning process. We further design a simple yet effective strategy to bypass a state-of-the-art defense. Experimental results indicate that our approach can compromise a wide range of downstream NLP tasks in an effective and stealthy way.",2021,62,abs/2110.02467,"5781518, 65844131, 2109329406, 16042895, 2146331573, 49298465, 2093474992",5781518,Prague,3,"2146335468, 1746466, 1394550182",Y,"* I understood that the conclusion of part 3 was that the expectation of eq (9) was elegantly computable for certain non-linearity (including ReLU).;In both datasets the number of atoms were globally fixed, which is counter-intuitive.;If ruled-based systems were sufficient, there would not be a need for statistical dialogue managers.",International Conference on Learning Representations,"nlp,models,tasks,backdoor,NLP","eef23d76e175c0cff8e81ffcb2721c10539c8cbd, 45de91a919780d5540872cf047986a370625e61c, c0aec04ee86c0724d61c976f19590fbe9c615723, 01bf0e83159712fbbbd12171a7e268547a4cfbc5, 02fa2389b1b64b661192e224bed8af6df0ce80f6, 013eb12ce5468f79d58bf859653f4929c5a2bd14, 7536bce1007a765fd097a7cc8ea62208a8c89b85, cbad0923db89f23febcbd6192ff4149289ff2ad9, 4aec7bcb292cb763341a22fc67a1cfaceb3a2c67, 6a6ad9eb495739f4c80e7c09598720c3d5c5dff7, 537f5e8e4139392cd2d108f32495e5b2b80151ac, c2528e88d5554e9df9f9d482ad46cb5331c4d794, 590b617c08d34bc6caed7e4490c0b22a9c516e86, 03aeb4520e760a906393aaf9c1bf4e526483d081, 0ac0025529c1f9056036be43c561ba67fb8d12a5, cc1e82125f7f8636b25ccdcdb63e8f812add7f87, dad8965c5a4c0a0ea1eb3837c6a9c3b42597c2ce, dd5fc2d34af35c6c7428205fff04c8f527b9e8d4, ca011427853d34ce4ec9ccafde8a70c9eacc3e21, 27beaa5db6c37c611f082855c6385b264874b8f5"
d88c1255876b62fb5f5a8b292098ca430710a540,The NLP Cookbook: Modern Recipes for Transformer Based Deep Learning Architectures,https://www.semanticscholar.org/paper/d88c1255876b62fb5f5a8b292098ca430710a540,JournalArticle,"In recent years, Natural Language Processing (NLP) models have achieved phenomenal success in linguistic and semantic tasks like text classification, machine translation, cognitive dialogue systems, information retrieval via Natural Language Understanding (NLU), and Natural Language Generation (NLG). This feat is primarily attributed due to the seminal Transformer architecture, leading to designs such as BERT, GPT (I, II, III), etc. Although these large-size models have achieved unprecedented performances, they come at high computational costs. Consequently, some of the recent NLP architectures have utilized concepts of transfer learning, pruning, quantization, and knowledge distillation to achieve moderate model sizes while keeping nearly similar performances as achieved by their predecessors. Additionally, to mitigate the data size challenge raised by language models from a knowledge extraction perspective, Knowledge Retrievers have been built to extricate explicit data documents from a large corpus of databases with greater efficiency and accuracy. Recent research has also focused on superior inference by providing efficient attention to longer input sequences. In this paper, we summarize and examine the current state-of-the-art (SOTA) NLP models that have been employed for numerous NLP tasks for optimal performance and efficiency. We provide a detailed understanding and functioning of the different architectures, a taxonomy of NLP designs, comparative evaluations, and future directions in NLP.",2021,54,9,"2141026590, 143794144",2141026590,Warsaw,3,"2105608191, 3441349, 1939487",Y,"Nothing groundbreaking here but still interesting enough and well explained.;The fact that the proposed technique is simple yet yields such speedups is encouraging.;So, the main contribution of the paper is to do all the sensitivity calculations with respect to SVM problem and then use the importance sampling theory to obtain bounds on the coreset size.",IEEE Access,"nlp,language,models,knowledge,NLP","a781cea542e99c6bb9422858e7c04eaef18c7673, ee6f23590783adec7cf6b2030c6a46f3117a708e, 8dd0c1e955c66092ff951941a151336211e6e171, 709f7a6b870cb07a4eab553adf6345b244913913, d35ed1fcab47cf98101dc745c42d3b51dace25eb, d1efcef213c433445be56d7479eb47d972b3ee79, 7bc9607c5cf3fc817675d46844f529097d579514, 529ff7d6441d244212cf2becafd12a7e67ac56d9, 57f5bf937f7393b691428747a9078d3124e6bcce, 2a15e9ac5593cd1f8bd3a724e78a173037c02fea, d9b5194f3f959eda2e95df6a340254f52ced46f4, 224c11bc51b4959bc787d6681c2b152468294b11, 03532123ccffae8d411264320e8a5ae2b6eddea0, e89c37b7c2ff465db43c4b9f674867ec4b98aa8b, 9712624bb61abb0da989514cae558cfab61bb9d2, 2880ac931c11176aee6d42a7e7bb0703aacde3f9, 0084f3cb0a1754272151c5268a783f24bf5676a0, 785a1c77fabd1ad870a9dbc98d235d2fcbdbaa6f, d997beefc0922d97202789d2ac307c55c2c52fba, 4d4d1ac9a9ad8592a6cc05082437d706ee176a38, aea731e7cf33aa3d482b13f42cedbc1adb3271c6, a8b995f0da78a79447dfb18c2337972b044f4239, 2141334fad7248fc707607bc9453d44686ae07a7, 7e9905710a5991a017ffc0473dd612cfce4b7b2e, 14dd50979af27bd2574c8068db11d27028b56afd"
